Themes/Phrases,strength
flow-through tests,1.0
common use,1.0
dilutor system,1.0
determining compliance,1.0
flow-through tests,1.0
Possible loss,1.0
flow-through tests,1.0
toxic substances,1.0
waste properties,1.0
chemical oxygen demand,1.5
biological oxygen,1.0
biological oxygen demand,1.5
chemical oxygen demand,1.5
exposure vessels,1.0
apparent toxicity,1.0
metabolic wastes,1.0
static renewal,1.0
toxic wastes,1.0
detecting slugs,1.0
test solutions,1.0
ill effects,1.0
metabolic wastes,1.0
healthier state,1.0
flow-through tests,1.0
toxic wastes,1.0
temporal variations,1.0
deplete energy reserves,1.5
Test organisms,1.0
toxic substances,1.0
test solutions,1.0
apparent toxicity,1.0
representative evaluation,1.0
loading factor,1.0
Test equipment,1.0
overlapping sequential,1.0
laboratory management,1.0
laboratory health,1.0
safety officer,1.0
Large volumes,1.0
dilution water,1.0
ongoing commitment,1.0
safety program,1.0
safety plan,1.0
significant risks,1.0
personal safety,1.0
infectious agents,1.0
effective health,1.0
good condition,1.0
laboratory staff member,1.5
ongoing training,1.0
laboratory safety,1.0
conducting toxicity tests,1.5
effluent samples,1.0
skin contact,1.0
safety precautions,1.0
noxious gases,1.0
laboratory work,1.0
safety program,1.0
safety inspections,1.0
toxicity tests,1.0
required safety equipment,1.5
hard hats,1.0
safety shoes,1.0
rubber aprons,1.0
laboratory coats,1.0
safety equipment,1.0
mobile laboratories,1.0
fire blankets,1.0
emergency showers,1.0
Incompatible materials,1.0
performing toxicity tests,1.5
safety equipment,1.0
aid kits,1.0
hazardous materials,1.0
potential health,1.0
effluent samples,1.0
chemical composition,1.0
work area,1.0
Strong acids,1.0
organic solvents,1.0
Good housekeeping,1.0
Electrical equipment,1.0
extension cords,1.0
Underwriter Laboratories,1.0
collecting samples,1.0
test areas,1.0
electrical equipment,1.0
glassware cleaning,1.0
fume hood,1.0
human wastes,1.0
electrical shock,1.0
handling samples,1.0
typhoid fever,1.0
SAFETY MANUALS,1.0
industrial safety manuals,1.5
safe practices,1.0
conducting toxicity tests,1.5
effluent samples,1.0
toxicity testing,1.0
appropriate manner,1.0
waste disposal requirements,1.5
Federal rules,1.0
performing testing activities,1.5
Local fire officials,1.5
laboratory management,1.0
quality assurance plan,1.5
data quality,1.0
toxicity testing,1.0
instrument calibration,1.0
sample chain-of-custody,1.0
reliable data,1.0
ongoing commitment,1.0
quality assurance,1.0
standard operating procedures,1.5
test organism culturing,1.5
hazardous conditions,1.0
toxicity test laboratory,1.5
technical staff,1.0
suitable space,1.0
laboratory quality assurance officer,2.0
test conditions,1.0
laboratory sample tracking system,2.0
effluent toxicity data,1.5
effluent sampling,1.0
aquatic toxicology laboratory,1.5
test organisms,1.0
instrument calibration,1.0
reference toxicants,1.0
detailed discussion,1.0
day-to-day activities,1.0
laboratory evaluation criteria,1.5
toxicity tests,1.0
toxicity testing,1.0
control practices,1.0
general guidance,1.0
good laboratory,1.0
quality assurance,1.0
Separate test organism,1.5
toxicity testing,1.0
possible loss,1.0
analysis laboratories,1.0
sample storage,1.0
preparation areas,1.0
sample preparation areas,1.5
test laboratories,1.0
test water temperatures,1.5
Ventilation systems,1.0
testing areas,1.0
toxicity test,1.0
dilution water,1.0
toxicity tests,1.0
extremely important,1.0
logistical constraints,1.0
test equipment,1.0
TEST ORGANISMS,1.0
test organisms,1.0
test controls,1.0
test organism culturing,1.5
effluent toxicity tests,1.5
dilution water,1.0
internal quality assurance tests,2.0
reference toxicants,1.0
total metal,1.0
toxic metals,1.0
test dilution,1.0
chronic criteria,1.0
minimum acceptability criteria,1.5
control survival,1.0
Pesticide concentrations,1.0
holding times,1.0
test solutions,1.0
test vessels,1.0
test solutions,1.0
test period,1.0
surrogate vessels,1.0
solution temperatures,1.0
Acute Toxicity Test Procedures,2.0
test organisms,1.0
individual tests,1.0
control treatments,1.0
toxicant testing,1.0
test organisms,1.0
toxicant testing,1.0
acceptable laboratory performance,1.5
test organisms,1.0
toxicity test method,1.5
acceptable reference toxicant,1.5
effluent toxicity test,1.5
toxicant test,1.0
concurrent toxicity,1.0
test laboratory,1.0
using test organisms,1.5
receiving waters,1.0
control chart data,1.5
organism supplier,1.0
acute toxicity tests,1.5
test organisms,1.0
ongoing laboratory performance,1.5
routine reference,1.0
toxicant test,1.0
external suppliers,1.0
test method,1.0
nutritional quality,1.0
chronic toxicity tests,1.5
reference toxicant,1.0
reference toxicant,1.0
test conditions,1.0
taxonomic expert,1.0
toxicant test,1.0
acceptability criteria,1.0
important factor,1.0
testing fish,1.0
toxicity test data,1.5
especially true,1.0
fatty acid content,1.5
brine shrimp nauplii,1.5
Suitable trout chow,1.5
test organisms,1.0
toxicity tests,1.0
short-term chronic test,1.5
side-by-side tests,1.0
relevant test,1.0
nutritional suitability,1.0
acute toxicity tests,1.5
minimum test acceptability criteria,2.0
food source,1.0
total organochlorine pesticides,1.5
acute tests,1.0
reference toxicant,1.0
control survival,1.0
analytical methods,1.0
wet weight,1.0
toxic metals,1.0
toxic organics,1.0
total organochlorine pesticides,1.5
l5 µg,1.0
wet weight,1.0
total metal,1.0
wet weight,1.0
test organisms,1.0
laboratory water,1.0
dilution water,1.0
professional judgment,1.0
laboratory analyst,1.0
quality assurance practices,1.5
methods manuals,1.0
individual test,1.0
conditionally acceptable,1.0
test condition summaries,1.5
shelf life,1.0
regulatory authority,1.0
routine measurements,1.0
Calibration data,1.0
residual chlorine,1.0
control survival,1.0
specified conditions,1.0
reporting data,1.0
dilution water,1.0
Routine chemical,1.0
physical analyses,1.0
physical parameters,1.0
general section,1.0
Reagent containers,1.0
quality assurance,1.0
Wet chemical methods,1.5
recommended number,1.0
test success,1.0
toxicity tests,1.0
significance level,1.0
statistical method,1.0
laboratory analyst,1.0
dilution water quality,1.5
organism age,1.0
water quality,1.0
standard error,1.0
relative standard deviation,1.5
percent coefficient,1.0
temperature control,1.0
toxicity tests,1.0
toxicant concentration,1.0
test organisms,1.0
test conditions,1.0
acute toxicity tests,1.5
common test species,1.5
reference toxicants,1.0
Intra-laboratory precision data,1.5
acute toxicity,1.0
test organisms,1.0
test conditions,1.0
sample size,1.0
reference toxicant,1.0
inter-laboratory precision,1.0
reference toxicants,1.0
acute toxicity tests,1.5
Inter-laboratory precision,1.0
acute toxicity test methods,2.0
using reference toxicant,1.5
toxicant tests,1.0
receiving water sample types,2.0
inter-laboratory test precision,1.5
interlaboratory precision data,1.5
percent coefficient,1.0
clear pattern,1.0
toxicity test precision,1.5
interlaboratory precision,1.0
sample types,1.0
standard deviation,1.0
Sodium dodecyl,1.0
total hardness,1.0
Daphnia data,1.0
reconstituted water,1.0
Mysid tests,1.0
ppt salinity,1.0
natural seawater,1.0
dilution water hardness,1.5
effluent hardness,1.0
water alkalinity,1.0
Intra-laboratory precision,1.0
weighted mean,1.0
fathead minnow,1.0
Cyprinodon variegatus,1.0
rainbow trout,1.0
sixth laboratory,1.0
water hardness,1.0
sheepshead minnow,1.0
mean weights,1.0
test fish,1.0
marine organisms,1.0
freshwater organisms,1.0
water hardness,1.0
Cyprinodon variegatus,1.0
rainbow trout,1.0
fathead minnows,1.0
organism age,1.0
effluent alkalinity,1.0
percent effluent,1.0
Test salinity,1.0
toxicity test,1.0
flow-through tests,1.0
duplicate tests,1.0
nominal toxicant concentrations,1.5
Cyprinodon variegatus,1.0
test solutions,1.0
water hardness,1.0
concentration measurements,1.0
toxicity test precision,1.5
Interlaboratory study,1.0
toxicant concentrations,1.0
6 Ceriodaphnia dubia,1.5
dilution water,1.0
standard deviation,1.0
Percent coefficient,1.0
acute tests,1.0
daily-renewal tests,1.0
hard synthetic,1.0
Graphical Method,1.0
certified laboratories,1.0
Spearman-Karber method,1.0
daily-renewal tests,1.0
ppt salinity,1.0
using moderately-hard reconstituted,1.5
non-renewal tests,1.0
synthetic seawater,1.0
Menidia beryllina,1.0
national study,1.0
interlaboratory precision,1.0
3 Ceriodaphnia dubia,1.5
test data,1.0
private laboratories,1.0
compliance monitoring,1.0
total hardness,1.0
standard deviation,1.0
Percent coefficient,1.0
non-renewal tests,1.0
moderately-hard synthetic,1.0
non-renewal tests,1.0
dilution water,1.0
dilution water,1.0
Within-lab3 Between-lab4 Total5,1.5
Ceriodaphnia dubia,1.0
interlaboratory trial,2.0
WET Interlaboratory Variability Study,2.0
within-laboratory component,1.0
receiving water sample,1.5
between-laboratory components,1.0
within-laboratory replication,1.0
sample type,1.0
Menidia beryllina,1.0
different laboratories,1.0
between-laboratory components,1.0
individual variability components,1.5
toxicant sample type,1.5
total interlaboratory variability,1.5
interlaboratory trials,1.0
study design,1.0
Cyprinodon variegatus,1.0
duplicate samples,1.0
toxicity tests,1.0
between-laboratory component,1.0
between-laboratory components,1.0
within-laboratory replication,1.0
study design,1.0
test conditions,1.0
between-laboratory component,1.0
total interlaboratory variability,1.5
total interlaboratory variability,1.5
interlaboratory variability,1.0
test concentration range,1.5
Precision estimates,1.0
Holmesimysis costata,1.0
significant figures,1.0
intralaboratory trials,1.0
compliance purposes,1.0
precise results,1.0
intra-laboratory precision,1.0
percent coefficient,1.0
different batches,1.0
test organisms,1.0
test duration,1.0
dilution water,1.0
data analysis methods,1.5
toxicant concentration series,1.5
partial mortalities,1.0
Satisfactory laboratory performance,1.5
acceptable test,1.0
toxicity test method,1.5
successive tests,1.0
test method,1.0
dilution water,1.0
including dilution water,1.5
Toxicity endpoints,1.0
control chart,1.0
successive tests,1.0
toxicity values,1.0
cumulative trend,1.0
20 data points,1.5
data collection,1.0
prescribed limits,1.0
toxicity data,1.0
reference toxicant,1.0
test species,1.0
test condition,1.0
reference toxicant,1.0
toxicant test results,1.5
thus reference,1.0
recent data,1.0
toxicant testing,1.0
75th percentile,1.0
control limits,1.0
additional reference,1.0
toxicant test,1.0
laboratory CVs,1.0
control limits,1.0
operator error,1.0
culture health,1.0
control limits,1.0
toxicant test,1.0
analysis methods,1.0
test species,1.0
reference toxicity results,1.5
control charts,1.0
running plot,1.0
control charts,1.0
water tests,1.0
control limits,1.0
successive test result,1.5
standard deviation,1.0
recent data,1.0
90th percentiles,1.0
corrective actions,1.0
system failure,1.0
control limits,1.0
toxicant tests,1.0
control limits,1.0
control limits,1.0
point estimates,1.0
reference toxicant,1.0
additional reference,1.0
toxicant test,1.0
toxicity value,1.0
corrective actions,1.0
control limits,1.0
reference toxicant test result,2.0
control limits,1.0
control limits,1.0
standard dilution water,1.5
test organisms,1.0
narrow control limit,1.5
proficient laboratories,1.0
control limits,1.0
recent data points,1.5
standard deviation,1.0
toxicant testing,1.0
confidence intervals,1.0
receiving water tests,1.5
toxicant testing,1.0
receiving water test,1.5
test rejection,1.0
control chart limits,1.5
laboratory CVs,1.0
toxicant test results,1.5
immediate investigation,1.0
possible causes,1.0
ongoing laboratory performance,1.5
toxicant test results,1.5
organism sensitivity,1.0
decreased test,1.0
test conditions,1.0
organism sensitivity,1.0
reference toxicant test result,2.0
reference toxicant,1.0
individual effluent,1.0
toxicant test results,1.5
toxicant test result,1.5
effluent test,1.0
toxicant test,1.0
Reference toxicants,1.0
aquatic toxicity tests,1.5
sodium dodecyl sulfate,1.5
copper sulfate,1.0
accompanying toxicity data,1.5
potassium dichromate,1.0
reference materials,1.0
test species,1.0
reference toxicants,1.0
commercial supply houses,1.5
prepared inhouse,1.0
using reagent,1.0
commercial suppliers,1.0
development agreements,1.0
Proper record,1.0
complete file,1.0
grade chemicals,1.0
regulatory agency,1.0
potassium chloride,1.0
cadmium chloride,1.0
EPAcertified solutions,1.0
additional reference toxicants,1.5
test organisms,1.0
toxicant tests,1.0
Laboratory data,1.0
original bench sheets,1.5
test organism responses,1.5
inadvertent introduction,1.0
Original data,1.0
sample log sheet,1.5
sample chain-of-custody,1.0
pertinent information,1.0
real-time basis,1.0
regulatory authority,1.0
discharge permits,1.0
mobile laboratory,1.0
holding organisms,1.0
individual toxicity test,1.5
chemical analysis data,1.5
test conditions,1.0
laboratory personnel,1.0
Effluent toxicity tests,1.5
toxicity testing areas,1.5
toxicity test solutions,1.5
toxic fumes,1.0
contaminate culture areas,1.5
toxicity test rooms,1.5
cross contamination,1.0
organism culture rooms,1.5
toxicity test rooms,1.5
circulating water baths,1.5
heat exchangers,1.0
loosely-fitting doors,1.0
test solution temperature,1.5
return air,1.0
handling areas,1.0
net flow,1.0
sensitive areas,1.0
automatic timers,1.0
environmental chambers,1.0
tap water,1.0
test organisms,1.0
residual chlorine,1.0
testing organisms,1.0
sufficient quantity,1.0
laboratory needs,1.0
sodium thiosulfate,1.0
synthetic water,1.0
ground water,1.0
surface water,1.0
water,3.0
effluent toxicity tests,1.5
laboratory grade water deionizer,2.0
preconditioned water,1.0
Sodium thiosulfate,1.0
good quality,1.0
deionized water,1.0
laboratory grade,1.0
mg chlorine,1.0
laboratory water conditioning units,2.0
carbon filtration,1.0
equivalent system,1.0
large quantities,1.0
sodium thiosulfate,1.0
deionized water,1.0
Deionized water,1.0
mixed-bed water treatment,1.5
air pumps,1.0
test organisms,1.0
light conditions,1.0
especially salmonids,1.0
dilution water,1.0
adsorbed toxicants,1.0
external disturbances,1.0
receiving waters,1.0
laboratory-prepared dilution waters,1.5
perfluorocarbon plastics,1.0
polyvinyl chloride,1.0
storing uncontaminated,1.0
safety reasons,1.0
plastic products,1.0
test chambers,1.0
glass carboys,1.0
carbon filters,1.0
general use,1.0
ordinary test,1.0
exposing organisms,1.0
exposure chambers,1.0
toxic substances,1.0
absolutely necessary,1.0
disposable polystyrene containers,1.5
receiving waters,1.0
dilution water,1.0
dilution water,1.0
water delivery system,1.5
storage tanks,1.0
effluent samples,1.0
dilution water,1.0
galvanized material,1.0
neoprene rubber,1.0
deionized water,1.0
dilution water,1.0
glass test chambers,1.5
Silicone adhesive,1.0
Extra beads,1.0
concentrated acid,1.0
dilution water,1.0
sample dilution water,1.5
pesticide-grade acetone,1.0
organophosphorus pesticides,1.0
in-house culture units,1.5
test organisms,1.0
oxygenated water,1.0
organism test chambers,1.5
non-disposable sample containers,1.5
test vessels,1.0
surface contaminants,1.0
automatic dishwasher,1.0
deionized water,1.0
nitric acid,1.0
deionized water,1.0
organic compounds,1.0
fume hood,1.0
deionized water,1.0
test chambers,1.0
dilution water,1.0
test organisms,1.0
water temperature,1.0
commercial sources,1.0
shipping containers,1.0
automatic samplers,1.0
composite sample,1.0
cooling capability,1.0
sample shipment,1.0
equivalent facility,1.0
temperature control,1.0
purification system,1.0
feed water,1.0
high-purity system,1.0
first-stage pre-conditioner deionizer,1.5
grade water,1.0
analytical balance,1.0
Reference weights,1.0
reference weights,1.0
last weight,1.0
tenth weight,1.0
disposable plastic test chambers,2.0
chamber volumes,1.0
excessive evaporation,1.0
making test solutions,1.5
borosilicate glass,1.0
method summaries,1.0
non-toxic plastic labware,1.5
borosilicate glass,1.0
safety glass plates,1.5
sheet plastic,1.0
Volumetric flasks,1.0
graduated cylinders,1.0
Volumetric pipets,1.0
Serological pipets,1.0
Pipet bulbs,1.0
transferring test organisms,1.5
small glassware,1.0
recording temperature,1.0
specific conductivity meters,1.5
instrument electrodes,1.0
field-grade instrument,1.0
electronic thermometers,1.0
measuring water,1.0
chemical measurements,1.0
electronic-chart type thermometers,1.5
Amperometric titrator,1.0
test solution salinity,1.5
equivalent water,1.0
Reagent water,1.0
receiving water,1.0
dilution water,1.0
alkalinity tests,1.0
Laboratory quality control check samples,2.5
instrument manufacturer,1.0
instrument calibration,1.0
Specific conductivity,1.0
salinity standards,1.0
chemistry methods,1.0
filling solutions,1.0
Reference toxicant solutions,1.5
nutritional suitability,1.0
organic chlorine,1.0
suitable reference cysts,1.5
brine shrimp cysts,1.5
commercial sources,1.0
nutritional suitability,1.0
chemical contamination,1.0
side-by-side growth,1.0
reproduction tests,1.0
Frozen Adult,1.0
brine shrimp,1.0
chemical contamination,1.0
pet stores,1.0
commercial sources,1.0
short-term substitute,1.0
trout chow,1.0
commercial sources,1.0
flake food,1.0
cereal leaves,1.0
satisfactory substitute,1.0
cereal leaves,1.0
feeding fathead minnows,1.5
commercial suppliers,1.0
dry yeast,1.0
flake foods,1.0
pet supply shops,1.5
preparing food,1.0
trout chow,1.0
Powdered Leaves,1.0
health food stores,1.5
commercial suppliers,1.0
local grocery store,1.5
acute toxicity,1.0
good quality test organisms,2.0
readily available,1.0
TEST ORGANISMS,1.0
receiving waters,1.0
commercial sources,1.0
representative specimens,1.0
test organisms,1.0
Toxicity test conditions,1.5
culture methods,1.0
inhouse cultures,1.0
Ceriodaphnia dubia,1.0
regulatory authority,1.0
fathead minnow,1.0
monitoring requirements,1.0
toxicity tests,1.0
taxonomic expert,1.0
brook trout,1.0
following principal test,1.5
Marine Organisms,1.0
Freshwater Organisms,1.0
Daphnia pulex,1.0
Oncorhynchus mykiss,1.0
rainbow trout,1.0
Cyprinodon variegatus,1.0
sheepshead minnow,1.0
inland silverside,1.0
tidewater silverside,1.0
test species,1.0
acute toxicity test organisms,2.0
generally available,1.0
commercial sources,1.0
test conditions,1.0
Additional species,1.0
toxicity tests,1.0
minimal testing requirements,1.5
acute toxicity test species,2.0
Holmesimysis costata,1.0
test conditions,1.0
nationwide use,1.0
indigenous species,1.0
state regulations,1.0
indigenous species,1.0
acute toxicity test,1.5
Holmesimysis costata,1.0
life stage,1.0
method manual,1.0
easily cultured,1.0
commercial sources,1.0
testing methods,1.0
appropriate state,1.0
genus name,1.0
indigenous species,1.0
test organisms,1.0
receiving water,1.0
previous versions,1.0
receiving water,1.0
testing methods,1.0
toxicity tests,1.0
reference toxicants,1.0
pure chemicals,1.0
reference toxicants,1.0
inhouse cultures,1.0
principal test organisms,1.5
state water quality standards,2.0
substitute species,1.0
commercial suppliers,1.0
potential variability,1.0
receiving water,1.0
commercial suppliers,1.0
Inhouse cultures,1.0
receiving water,1.0
test organisms,1.0
strong appeal,1.0
logical approach,1.0
following reasons,1.0
often difficult,1.0
previous exposure,1.0
fathead minnows,1.0
single laboratory,1.0
precision data,1.0
required age,1.0
receiving water,1.0
collection permits,1.0
sheepshead minnows,1.0
Sensitive organisms,1.0
test organisms,1.0
Test organisms,1.0
toxicity testing,1.0
bacterial infections,1.0
feral organisms,1.0
adverse effects,1.0
species level,1.0
test organisms,1.0
physical condition,1.0
juvenile mysids,1.0
life stages,1.0
monitoring program,1.0
early life stages,1.5
Young organisms,1.0
test organisms,1.0
Test organisms,1.0
commercially available,1.0
water temperature,1.0
dry surfaces,1.0
bolting cloth,1.0
nylon netting,1.0
plankton netting,1.0
smooth glass tubes,1.5
rubber bulbs,1.0
freshwater species,1.0
good quality,1.0
Holding tanks,1.0
recirculation system,1.0
light sources,1.0
warm water,1.0
larval fish,1.0
prepared food,1.0
intensity ultraviolet,1.0
frozen brine,1.0
dry food,1.0
frozen food,1.0
fecal material,1.0
artificial food,1.0
daily record,1.0
behavioral observations,1.0
styrofoam coolers,1.0
plastic bottles,1.0
remote test site,1.5
culture water,1.0
physical damage,1.0
holding tank,1.0
large-mouth screw-cap,1.0
dilution water,1.0
plastic bags,1.0
gas cylinder,1.0
freshwater species,1.0
portable pump,1.0
receiving water,2.0
15 min period,1.5
dilution water,1.0
receiving water,1.0
