Themes/Phrases,strength
trauma surgeons,1.0
emergency physicians,1.0
alcohol-related research,1.0
surgery section,1.0
grant application,1.0
increasing information,1.0
emergency department,1.0
several areas,1.0
screening process,1.0
study barriers,1.0
alcohol use disorder,1.5
problematic consumption,1.0
several alcohol endpoints,1.5
Acute intoxication,1.0
alcohol-screening questionnaires,1.0
emergency physicians,1.0
screening implementation,1.0
Alcohol problems,1.0
screening procedures,1.0
alcohol problem,1.0
final aim,1.0
Alcohol problems,1.0
risk behavior,1.0
alcohol concentration,1.0
psychological consequences,1.0
screening test,1.0
alcohol use disorders,1.5
screening tests,1.0
problematic consumption,1.0
alcohol abuse,1.0
alcohol abuse,1.0
alcohol use disorder,1.5
identifying patients,1.0
alcohol consumption,1.0
Binge drinking,1.0
ideal screening test,1.5
ideal test,1.0
screening test,1.0
legal consequences,1.0
cut point,1.0
hazardous drinking,1.0
men ages,1.0
receiver operator curve,2.1666667
ideal test,1.0
positive tests,1.0
real problems,1.0
alcohol use spectrum,1.5
real tests,1.0
severe problems,1.0
identifying patients,1.0
sensitive test,1.0
trauma admissions,1.0
screening tests,1.0
Screening tests,1.0
ideal test,1.0
low case rates,1.5
pregnant clinic patients,1.5
identifying patients,1.0
binge drinking,1.0
diverse population,1.0
acute illness,1.0
moderate specificity,1.0
false positives,1.0
ideal test,1.0
screening tests,1.0
ideal test,1.0
severe problems,1.0
demographic groups,1.0
test performance,1.0
different case rates,1.5
drug use,1.0
anxiety disorders,1.0
ideal test,1.0
lifetime alcohol problems,1.5
screening test,1.0
research trials,1.0
screening test,1.0
successful implementation,1.0
laboratory testing,1.0
screening procedure,1.0
emphasized brevity,1.0
available screening tests,1.5
past use,1.0
clinical care duties,1.5
lengthy list,1.0
screening test,1.0
poor outcome,1.0
medical problems,1.0
prior health training,1.5
additional training,1.0
clinical practice,1.0
practical issues,1.0
Several factors,1.0
ideal test,1.0
certain questions,1.0
research trials,1.0
certain questions,1.0
hospital record-keepers,1.0
ideal screening test,1.5
ideal test,1.0
routine sequence,1.0
medical history,1.0
physical examination,1.0
structured questionnaires,1.0
current evidence,1.0
identifying alcohol use disorders,2.0
problematic consumption,1.0
clinical impression,1.0
biochemical tests,1.0
structured questionnaires,1.0
saliva testing,1.0
breath analysis,1.0
acute intoxication,1.0
blood test,1.0
concerning alcohol problems,1.5
clinical impressions,1.0
general impression,1.0
intoxicated patients,1.0
Primary care,1.0
trauma center,1.0
low income,1.0
alcohol problems,1.0
single question,1.0
primary care,1.0
brief screening tool,1.5
primary care providers,1.5
emergency physicians,1.0
16 Stereotypic profiling,1.5
clinical impressions,1.0
Clinical impression,1.0
structured questionnaires,1.0
Trained practitioners,1.0
counseling alcoholics,1.0
alcohol problems,1.0
Structured questionnaires,1.0
drinking problem,1.0
single question screens,1.5
patient self-report,1.0
primary care settings,1.5
existing screens,1.0
specific alcohol questions,1.5
Subsequent reports,1.0
alcohol use disorders,1.5
alcohol abuse,1.0
addresses problems,1.0
alcohol abuse,1.0
computer format,1.0
question Brief,1.0
computerized format,1.0
at-risk drinking,1.0
alcohol abuse,1.0
alcohol abuse,1.0
three-question screen,1.0
item version,1.0
Several screens,1.0
pregnant women,1.0
alcohol abuse,1.0
pregnant patients,1.0
emergency department use,1.5
highest-yield questions,1.0
screening tests,1.0
brief screening tool,1.5
morning drinking,1.0
primary care physicians,1.5
opening question,1.0
alcohol consumption,1.0
addresses problems,1.0
screening test,1.0
multiple screening tests,1.5
guilt question,1.0
tolerance question,1.0
multiple screening,1.0
at-risk drinking,1.0
alcohol abuse,1.0
alcohol dependence,1.0
alcohol dependence,1.0
stand-alone test,1.0
alcohol consumption,1.0
alcohol dependence,1.0
alcohol use disorder,1.5
primary care setting,1.5
harmful drinking,1.0
non-dependent drinkers,1.0
cut point,1.0
black women,1.0
white women,1.0
important subgroups,1.0
alcohol abuse,1.0
pregnant women,1.0
psychiatric patients,1.0
Spanish speakers,1.0
Screening biases,1.0
screening instruments,1.0
primary care settings,1.5
white women,1.0
low sensitivity,1.0
important subgroup,1.0
unique tests,1.0
Standard screens,1.0
analyzed variability,1.0
test performance,1.0
Hispanic patients,1.0
cut points,1.0
alcohol dependence,1.0
alcohol dependence,1.0
necessitate use,1.0
multiple screens,1.0
alcohol use,1.0
screening test performance,1.5
white women,1.0
alternative screening tests,1.5
cut points,1.0
intoxicated drivers,1.0
alcohol use,1.0
level equivalent,1.0
biochemical markers,1.0
corpuscular volume,1.0
alcohol use disorders,1.5
patient subgroups,1.0
specific screen,1.0
aspartate aminotransferase,1.0
alanine aminotransferase,1.0
considerable part,1.0
alcohol use disorder,1.5
insensitive screen,1.0
self-reported drinking,1.0
saliva alcohol,1.0
alcohol disorder,1.0
deficient transferrin,1.0
screening tests,1.0
alcohol problem,1.0
poor screen,1.0
alcohol abuse,1.0
harmful drinkers,1.0
liver enzymes,1.0
problematic con-sumption,1.0
Biochemical tests,1.0
current problems,1.0
positive test score,1.5
efficient use,1.0
additional staff,1.0
Screening questions,1.0
additional intervention,1.0
indirect questions,1.0
available screens,1.0
accurate test,1.0
lifetime problems,1.0
embedded questions,1.0
various formats,1.0
screening tests,1.0
practical test,1.0
motivational screening test,1.5
Drawing blood,1.0
efficient approach,1.0
Minimizing question sets,1.5
computer feedback,1.0
practical avenues,1.0
different screens,1.0
negative consequences,1.0
link alcohol,1.0
demographic mix,1.0
existing screening,1.0
Research questions,1.0
direct testing,1.0
wording questions,1.0
allowing patients,1.0
self-administered forms,1.0
blood alcohol levels,1.5
confronting patients,1.0
immediate feedback,1.0
Research questions,1.0
cut points,1.0
tailored screens,1.0
specific questions,1.0
primary care,1.0
stand-alone screen,1.0
opening questions,1.0
consumption questions,1.0
Several trials,1.0
intervention program,1.0
Future studies,1.0
intervention protocols,1.0
emergency patients,1.0
accepted follow-up,1.0
inadequate training,1.0
poor morale,1.0
emergency physicians,1.0
inadequate time,1.0
clinical practice,1.0
implementing screening,1.0
screening literature,1.0
systematic approach,1.0
alcohol screening,1.0
implementing screening,1.0
research protocol,1.0
multiple barriers,1.0
identified lack,1.0
insufficient education,1.0
clinical tool,1.0
research tool,1.0
provider attitudes,1.0
structured questionnaires,1.0
alcohol screening,1.0
case rates,1.0
alcohol problems,1.0
highest-risk groups,1.0
addiction experts,1.0
acute intoxication,1.0
medical problems,1.0
gastrointestinal bleeding,1.0
different tools,1.0
social work,1.0
volunteer staff,1.0
interview techniques,1.0
case rates,1.0
nurse documentation,1.0
Screening protocols,1.0
risk subgroups,1.0
clinical practices,1.0
clinical practice,1.0
Implementing screening,1.0
conduct screening,1.0
staff group,1.0
clinical staff,1.0
research staff,1.0
Screening questions,1.0
screening programs,1.0
major limit,1.0
efficacious research practice,1.5
clinical practice,1.0
staff member,1.0
screening task,1.0
Self-administered questionnaires,1.0
computer screen,1.0
existing registration,1.0
health questionnaires,1.0
screening instruments,1.0
implementing alcohol,1.0
patient care,1.0
entirely dependent,1.0
increased referrals,1.0
limited alcohol services,1.5
screening program,1.0
little sense,1.0
alcohol-involved patients,1.0
referral services,1.0
ideal screen,1.0
screening tools,1.0
screening tests,1.0
clinical practice,1.0
concerning screening,1.0
structured questionnaires,1.0
clinical practice,1.0
risk behaviors,1.0
emergency department patients,1.5
multisite survey,1.0
Mental Disorders,1.0
Clinical Interview,1.0
screening trauma,1.0
prenatal population,1.0
center patients,1.0
white emergency room patients,2.0
alcohol problems,1.0
emergency department,1.0
various methods,1.0
screening instruments,1.0
chronic alcohol abuse,1.5
alcohol intoxication,1.0
breath alcohol analyzer,1.5
alcohol problems,1.0
breath alcohol analyzer,1.5
center staff,1.0
breath analysis measures,1.5
clinical judgement,1.0
alcohol levels,1.0
toxicology screens,1.0
department patients,1.0
acute alcohol intoxication,1.5
chronic alcohol dependence,1.5
alcohol-related problems,1.0
general practice,1.0
screening questionnaire,1.0
inner-city population,1.0
two-question drinking test,1.5
routine screening,1.0
three-sample test,1.0
ambulatory care setting,1.5
Identifying problem,1.0
elderly veterans,1.0
single question work,1.5
alcohol screening instrument,1.5
conventional versus,1.0
Screening Test,1.0
computer-administered formats,1.0
primary health care,1.5
related problems,1.0
Collaborative Project,1.0
Early Detection,1.0
prenatal detection,1.0
emergency room,1.0
Brief MAST,1.0
diagnostic instrument,1.0
pregnancy risk-drinking,1.0
brief screening instrument,1.5
problem drinking,1.0
screening trauma,1.0
emergency room population,1.5
primary care,1.0
systematic review,1.0
emergency room,1.0
drunk-driver population,1.0
primary health care,1.5
carbohydrate-deficient transferrin,1.0
carbohydrate-deficient transferrin,1.0
harmful drinking,1.0
screening instruments,1.0
alcohol problems,1.0
emergency room,1.0
center patients,1.0
accurately problem drinkers,1.5
Diagnostic tests,1.0
screening questionnaires,1.0
Objective diagnosis,1.0
alcohol abuse,1.0
blood alcohol,1.0
harmful drinking,1.0
injured patients,1.0
conventional alcohol markers,1.5
excessive alcohol drinking,1.5
comparative value,1.0
mental disorders,1.0
college students,1.0
adolescent alcohol use,1.5
brief intervention,1.0
clinical analysis,1.0
primary care,1.0
alcohol abuse,1.0
corpuscular volume,1.0
assessing alcohol consumption,1.5
primary health care,1.5
brief intervention,1.0
heavy drinkers,1.0
mental disorders,1.0
primary care,1.0
general practice,1.0
screening questionnaire,1.0
corpuscular volume,1.0
criterion-oriented validation,1.0
alcoholism questionnaire,1.0
alcohol dependence,1.0
drug use,1.0
college freshman,1.0
medicine outpatient clinic,1.5
heavy drinking,1.0
carbohydrate-deficient transferrin,1.0
primary care,1.0
college freshmen,1.0
female college,1.0
screening measure,1.0
problem drinking,1.0
emergency department,1.0
problem drinkers,1.0
opportunistic screening,1.0
emergency physicians,1.0
promotion practices,1.0
economic impact,1.0
alcohol abuse,1.0
medical conditions,1.0
cause visits,1.0
emergency depart-ment1,1.0
return visit,1.0
emergency setting,1.0
emergency departments,1.0
trauma centers,1.0
blood alcohol concentration,1.5
effective method,1.0
Emergency Settings,1.0
Excessive alcohol consumption,1.5
alcohol problems,1.0
risk factor,1.0
alcohol problems,1.0
including repeat re-admission,1.5
injury episodes,1.0
alcohol problems,1.0
emergency setting,1.0
current consequences,1.0
medical condition,1.0
prompting admission,1.0
drug abuse,1.0
medical problem,1.0
unintentional injury,1.0
automobile crash,1.0
adverse consequence,1.0
injured crash,1.0
emergency department,1.0
good candidates,1.0
brief intervention,1.0
violent incident-facilitates intervention,1.5
alcohol consumption,1.0
negative consequences,1.0
trauma centers,1.0
Motivational considerations,1.0
motivational terms,1.0
anecdotal descriptions,1.0
emergency staff,1.0
emergency setting,1.0
family member advice,1.5
patient openness,1.0
alcohol consumption changes,1.5
alcohol problems,1.0
minimal intervention control groups,2.0
medical conditions,1.0
liver disease,1.0
problem behaviors,1.0
emergency setting,1.0
Several studies,1.0
alcohol consumption,1.0
problematic levels,1.0
untreated patients,1.0
emergency setting,1.0
problem drinkers,1.0
emergency department,1.0
medical emergency,1.0
ensuing visit,1.0
enduring reductions,1.0
medical treatment,1.0
vehicular crashes,1.0
hitting bottom,1.0
negative consequences,1.0
initial period,1.0
legal responsibility,1.0
consumption changes,1.0
control conditions,1.0
salutary effect,1.0
emergency patients,1.0
emergency setting,1.0
medical setting,1.0
pilot intervention,1.0
emergency department,1.0
brief interventions,1.0
Various types,1.0
substance abuse counselor,1.5
residential substance abuse,1.5
immediate entry,1.0
problem-drinking patients,1.0
seminal studies,1.0
brief intervention,1.0
emergency rooms,1.0
early studies,1.0
alcohol health workers,1.5
emergency department,1.0
substance abuse counselors,1.5
emergency department,1.0
reported acceptance,1.0
trauma center,1.0
trauma settings,1.0
documented outcomes,1.0
Several studies,1.0
treatment program,1.0
mean reduction,1.0
consultation service,1.0
substance abuse consultation team,2.0
successful referral,1.0
problem drinkers,1.0
emergency settings,1.0
alcohol workers,1.0
problem drinkers,1.0
consecutive cases,1.0
alcohol treatment,1.0
successful connection,1.0
appropriate alcohol,1.0
treatment programs,1.0
drinking problems,1.0
reducing re-injury,1.0
recent review,1.0
intervention trials,1.0
defining features,1.0
treatment program,1.0
Early reports,1.0
measured injury outcomes,1.5
blood alcohol concentration,1.5
measured injury outcomes,1.5
clear evidence,1.0
drinking-related injuries,1.0
legal charges,1.0
effect sizes,1.0
emergency settings,1.0
randomized trials,1.0
well-controlled intervention studies,1.5
injury hospitalizations,1.0
glutamyl transpeptidase,1.0
alcohol consumption,1.0
current publications,1.0
doctoral-level psychologist,1.0
trauma center,1.0
motivational interview,1.0
control group,1.0
inpatient hospital re-admissions,1.5
average reduction,1.0
intervention group,1.0
drinking subgroup,1.0
controlled trial,1.0
follow-up study,1.0
interviewing techniques,1.0
brief intervention,1.0
trained professional,1.0
month follow-up,1.0
moderate alcohol,1.0
blood alcohol concentration,1.5
serum gamma,1.0
three-year follow-up,1.0
intervention condition,1.0
controlled trial,1.0
motivational intervention,1.0
significant reductions,1.0
standard control,1.0
severe alcohol dependence,1.5
eligible patients,1.0
significant reductions,1.0
emergency setting,1.0
seminal study,1.0
alcohol-related event,1.0
injury episodes,1.0
eligible patients,1.0
adolescents ages,1.0
emergency room,1.0
moving violations,1.0
alcohol treatment agencies,1.5
alcohol-related injuries,1.0
alcohol-related problems,1.0
experiencing one-third,1.0
intervention group,1.0
significantly different,1.0
level staff,1.0
control groups,1.0
drinking levels,1.0
control group,1.0
later time points,1.5
interview training,1.0
refusal rate,1.0
harm reduction effect,1.5
various indicators,1.0
interviewing techniques,1.0
Motivational interview counselors,1.5
self-help programs,1.0
primary care,1.0
patient-centered alcohol counseling intervention,2.0
medical settings,1.0
extant studies,1.0
Substance abuse,1.0
intervention providers,1.0
reducing drinking,1.0
significant reductions,1.0
alcohol consumption,1.0
alcohol intervention,1.0
substance abuse counseling,1.5
offered advice,1.0
alcohol-related injuries,1.0
Substance abuse,1.0
risky behaviors,1.0
recent study,1.0
high-risk drinkers,1.0
discussed drinking,1.0
physician-delivered interventions,1.0
emergency setting,1.0
alcohol-focused interventions,1.0
emergency settings,1.0
alcohol-focused interventions,1.0
problematic alcohol consumption,1.5
severely dependent,1.0
internal medicine visit,1.5
emergency setting,1.0
treatment program,1.0
emergency medicine physicians,1.5
training reasons,1.0
patient plans,1.0
excessive drinking,1.0
critical end,1.0
treatment programs,1.0
interviewing approaches view change,2.0
problem drinkers,1.0
emergency settings,1.0
follow-up visit,1.0
individualized plan,1.0
intervention attempts,1.0
substance abuse interventions,1.5
single intervention visit,1.5
important outcome,1.0
risky behaviors,1.0
additional treatment,1.0
self-help groups,1.0
multiple visits,1.0
extended treatment,1.0
emergency setting,1.0
motivational interventions,1.0
wide range,1.0
extended stay,1.0
emergency department,1.0
follow-up visit,1.0
logistical problems,1.0
significant change,1.0
emergency settings,1.0
alcohol interventions,1.0
postponing intervention,1.0
initial visit,1.0
emergency setting,1.0
initial contact,1.0
letter home,1.0
feedback letter,1.0
phone calls,1.0
emergency setting,1.0
post-discharge follow-up,1.0
drinking behavior,1.0
medical problem,1.0
follow-up visits,1.0
medical settings,1.0
alcohol interventions,1.0
intervention conversation,1.0
post-discharge period,1.0
Substantial evidence,1.0
sizeable reduction,1.0
randomized participants,1.0
public health importance,1.5
trauma center patients,1.5
positive outcomes,1.0
positive outcomes,1.0
emergency settings,1.0
always clear,1.0
risk profiles,1.0
minimal interventions,1.0
intervention patients,1.0
Bringing research,1.0
outcome variable,1.0
effective intervention programs,1.5
clinical outcomes,1.0
trauma center,1.0
minimal interventions,1.0
drinking behavior,1.0
emergency settings,1.0
medical settings,1.0
relevant measures,1.0
important issues,1.0
emergency setting,1.0
addressing alcohol,1.0
emergency department,1.0
emergency setting,1.0
problem drinkers,1.0
future research,1.0
concerning intervention,1.0
emergency department,1.0
trauma centers,1.0
practical issues,1.0
implementation agenda,1.0
alcohol use problems,1.5
trauma centers,1.0
regarding alcohol problems,1.5
emergency departments,1.0
injured patient,1.0
intervention programs,1.0
used screening questionnaires,1.5
substance abuse counselors,1.5
alcohol screening,1.0
intoxicated drivers,1.0
testing rates,1.0
national survey,1.0
treatable disease,1.0
alcohol use problems,1.5
blood alcohol testing,1.5
trauma centers,1.0
favored testing,1.0
mean score,1.0
clinical practices,1.0
alcohol-impaired drivers,1.0
ambivalent attitudes,1.0
department physicians,1.0
treat-able disease,1.0
alcoholism management,1.0
recent survey,1.0
concerning alcoholics,1.0
emergency medicine physicians,1.5
emergency department interventions,1.5
recommended screening,1.0
alcohol use,1.0
convincing staff,1.0
effectiveness studies,1.0
successful dissemination,1.0
long-term outcomes,1.0
several emergency,1.0
internal medicine,1.0
family medicine,1.0
problem drinkers,1.0
effectiveness studies,1.0
alcohol use,1.0
screening procedure,1.0
national survey,1.0
formal treatment,1.0
emergency settings,1.0
logical step,1.0
appropriate treatment,1.0
Prototype interventions,1.0
differing size,1.0
staff composition,1.0
standard practice,1.0
emergency settings,1.0
efficient intervention program,1.5
triage system,1.0
emergency settings,1.0
problem interveners,1.0
severe alcohol problems,1.5
trauma center,1.0
primary screen,1.0
brief intervention,1.0
decisional considerations,1.0
standard intake procedure,1.5
emergency setting,1.0
preliminary screen,1.0
evaluating motivation,1.0
patient-centered approaches,1.0
alcohol problem,1.0
day treatment,1.0
Self-help groups,1.0
intensive treatment,1.0
drinking problems,1.0
Rational Recovery,1.0
outpatient treatments,1.0
post-discharge options,1.0
screening instrument,1.0
alcohol problems,1.0
viable options,1.0
emergency settings,1.0
legal aspect,1.0
clinical intervention,1.0
alcohol problem,1.0
Greater dependence,1.0
residential treatment,1.0
wide range,1.0
trained professionals,1.0
often chaotic,1.0
referral options,1.0
compliance enhancement,1.0
brief intervention,1.0
severe problem patients,1.5
intensive intervention,1.0
alcohol problems,1.0
emergency department,1.0
community treatment programs,1.5
emergency settings,1.0
Unresolved questions,1.0
several types,1.0
Next steps,1.0
emergency setting,1.0
long-term outcomes,1.0
severe alcohol problems,1.5
brief interventions,1.0
social workers,1.0
including physicians,1.0
various interventions,1.0
differing levels,1.0
medical treatment,1.0
attending physician,1.0
effective treatment,1.0
discharge planning,1.0
emergency staff,1.0
misguided attempt,1.0
Including family,1.0
reaching emergency physicians,1.5
substance abuse counselors,1.5
significant assistance,1.0
emergency setting,1.0
separate protocol,1.0
interventions triage,1.0
medical treatments,1.0
hospital stay,1.0
patient readiness,1.0
health behavior,1.0
significant policy issues,1.5
third-party payors,1.0
several researchers,1.0
change model,1.0
emergency setting,1.0
BAC test,1.0
alcohol problems,1.0
insurance commissioners,1.0
third-party payors,1.0
injured patients,1.0
issue policies,1.0
billing department staff,1.5
health services research,1.5
treatment system,1.0
emergency departments,1.0
trauma centers,1.0
various settings,1.0
alcohol dependence,1.0
intervention guidelines,1.0
technology transfer,1.0
evaluation studies,1.0
procedure evaluations,1.0
ceased testing,1.0
single case,1.0
differing size,1.0
emergency settings,1.0
emergency triage,1.0
alcohol problem,1.0
emergency medicine,1.0
professional organizations,1.0
basic research,1.0
program implementation,1.0
alcohol problems,1.0
fatal disease,1.0
Early intervention,1.0
appropriate referral,1.0
alcohol problems,1.0
practical barriers,1.0
additional research,1.0
alcohol problems,1.0
minor injury,1.0
department patients,1.0
Detecting alcoholism,1.0
alcohol problems,1.0
motor vehicle crash victims,2.0
epidemiologic study,1.0
emergency department,1.0
emergency department setting,1.5
accumulating body,1.0
full advantage,1.0
emergency department,1.0
emergency department,1.0
alcohol abuse,1.0
trauma patients,1.0
Psychoactive substance use disorders,2.0
injured trauma center patients,2.0
alcohol problems,1.0
alcohol problems,1.0
emergency department,1.0
department door,1.0
Substance abuse interventions,1.5
alcohol-related injuries,1.0
improving detection,1.0
emergency department,1.0
current practice,1.0
trauma centers,1.0
dangerous behaviors-and,1.0
revolving emergency,1.0
EAST position paper,1.5
nursing practice,1.0
young adults,1.0
alcohol involvement,1.0
alcohol-related motor vehicle crashes,2.0
Drinking patterns,1.0
substance abuse,1.0
trauma center,1.0
controlled study,1.0
medical wards,1.0
programmatic implications,1.0
emergency room,1.0
Emergency intervention,1.0
opiate use,1.0
Epidemic increases,1.0
recurrent injury,1.0
hospital emergency,1.0
problem drinkers,1.0
alcohol health worker,1.5
abuse consultation team,1.5
trauma center,1.0
Substance abuse,1.0
primary care,1.0
ED-based intervention,1.0
primary care practices,1.5
alcohol-related trauma,1.0
practitioner-delivered counseling,1.0
performing alcohol interventions,1.5
trauma centers,1.0
public hospital,1.0
substance abuse treatment system,2.0
preventive services,1.0
brief interventions,1.0
department-based screening,1.0
center patients,1.0
problem drinking,1.0
Brief interventions,1.0
alcohol problems,1.0
Brief physician advice,1.5
problem alcohol drinkers,1.5
Practical guidelines,1.0
disease model,1.0
alcohol problems,1.0
Addiction Behaviors,1.0
Brief interventions,1.0
trauma centers,1.0
emergency physicians,1.0
emergency department,1.0
care physicians,1.0
emergency department,1.0
Emergency physician,1.0
clinical practices,1.0
alcohol-impaired drivers,1.0
national survey,1.0
alcohol intoxication,1.0
