Themes/Phrases,strength
total cost,1.0
mail processing,1.0
unique shape,1.0
cost function,1.0
specific volume,1.0
basic total,1.0
cost equation,1.0
total costs,1.0
institutional costs,1.0
cost function,1.0
cost function,1.0
population differences,1.0
cost curves,1.0
predicting unit costs,1.5
mail processing costs,1.5
total percentage,1.0
processing costs,1.0
mail processing,1.0
single unit cost curve,2.0
total costs curves,1.5
Cost Functions,1.0
mail processing percentage,1.5
account labor cost differences,2.0
urban areas,1.0
total cost,1.0
mail processing,1.0
mail mix,1.0
mail preparation,1.0
vertical axis,1.0
unit cost curve,1.5
Structural Differences,1.0
mail processing costs,1.5
normal mail,1.0
mail processing costs,1.5
different impacts,1.0
counter costs,1.0
total costs,1.0
delivery cost,1.0
delivery costs,1.0
mail processing cost,1.5
unaddressed mail,1.0
ESTIMATED UNIT COSTS,1.5
actual cost data,1.5
unit costs,1.0
making adjustments,1.0
unit costs,1.0
purchasing power parities,1.5
hourly wage,1.0
model cost results,1.5
actual revenues,1.0
average revenue,1.0
annual reports,1.0
unaddressed mail,1.0
Actual cost,1.0
hourly wage,1.0
Italian labor costs,1.5
mail mix,1.0
unit cost curve,1.5
general shape,1.0
capita volume posts,1.5
industrialized countries,1.0
explanatory factors,1.0
postal costs,1.0
model forecasts costs,1.5
industrialized country,1.0
empirical evidence corroborates,1.5
principal conclusion,1.0
capita volume,1.0
volume posts,1.0
cost characteristics,1.0
service quality,1.0
hourly wage,1.0
72 percent letters,1.5
postal density,1.0
street hour,1.0
unit cost,1.0
actual values,1.0
reasonably close,1.0
accurate predictor,1.0
cost behavior,1.0
additional research,1.0
reasonable accuracy,1.0
1 percent parcels,1.5
percent flats,1.0
total cost,1.0
unaddressed mail,1.0
Unaddressed mail,1.0
full time equivalents,1.5
full time equivalents,1.5
postal operations,1.0
full time equivalents,1.5
Italiane study,1.0
German delivery,1.0
non labor,1.0
non labor costs,1.5
cost percentages,1.0
delivery operations,1.0
non labor,1.0
postal density,1.0
population density,1.0
total cost,1.0
delivery cost percentage,1.5
Functional Percentage,1.0
volume post,1.0
average time,1.0
Empirical Findings,1.0
cost model,1.0
mail processing,1.0
street delivery costs,1.5
Empirical findings,1.0
low volume routes,1.5
low coverage,1.0
fixed costs,1.0
unknown amount,1.0
total costs,1.0
mail processing cost,1.5
mail processing costs,1.5
using purchasing power,1.5
hourly costs,1.0
coverage levels,1.0
downward adjustment,1.0
volume post,1.0
delivery costs,1.0
retail operations,1.0
involving collection,1.0
fixed route,1.0
traveling salesman,1.0
large percentage,1.0
delivery percentages,1.0
significant virtue,1.0
mail processing prediction,1.5
retail post office,1.5
actual mail processing percentages,2.0
delivery trend line,1.5
large errors,1.0
mail processing percentages,1.5
trend line,1.0
cost percentages,1.0
test countries,1.0
low volume,1.0
capita country,1.0
model lines,1.0
mail processing trend line,2.0
model line,1.0
volume posts,1.0
capita posts,1.0
delivery percentages,1.0
trend line,1.0
significant differences,1.0
4 display trend curves,2.0
bold lines,1.0
low delivery cost,1.5
values causes,1.0
predicting costs,1.0
trend lines,1.0
Functional Percentage,1.0
Total Costs,1.0
Cost Heterogeneity,1.0
Delivery Services,1.0
Piggyback Factors,1.0
Delivery Economics,1.0
6th Köenigswinter Seminar,1.5
Preliminary Version,1.0
Evolving Structure,1.0
Emerging Competition,1.0
cream skimming,1.0
protection cream skimmers,1.5
profit routes,1.0
industrial nation,1.0
affordable prices,1.0
delivery points,1.0
much volume,1.0
universal service,1.0
Postal administrations,1.0
postal administrations,1.0
affordable prices,1.0
universal service,1.0
profitable routes,1.0
letter mail market,1.5
third attempt,1.0
universal service,1.0
reasonable prices,1.0
cream skimming,1.0
industrial nations,1.0
postal monopoly,1.0
licensing system,1.0
monopoly protection,1.0
avoiding bankruptcy,1.0
recent study,1.0
anti-competitive practices,1.0
cream skimming,1.0
large volume mailers,1.5
basic dimensions,1.0
cream skimming,1.0
viable competitor,1.0
letter mail,1.0
dominant market,1.0
dominant provider,1.0
heterogeneous costs,1.0
low cost,1.0
profitable portion,1.0
low cost,1.0
heterogeneous costs,1.0
cream skimming,1.0
weekly delivery,1.0
various areas,1.0
geographic cream skimming,1.5
cream skimming,1.0
several questions,1.0
potential competitors,1.0
competitive position,1.0
third dimension,1.0
Cream skimming,1.0
large volume customers,1.5
technically inefficient,1.0
exhibit economies,1.0
delivery functions,1.0
potential competitor,1.0
scale economies,1.0
universal pricing,1.0
lowered prices,1.0
volume customers,1.0
large volume customers,1.5
transaction costs,1.0
Postal monopolies,1.0
legal monopolies,1.0
necessary level,1.0
practice cream skimmers,1.5
transactions costs,1.0
financial impact,1.0
low risk,1.0
effect product cream skimming,2.0
significant volumes,1.0
financial impact,1.0
low risk,1.0
significant volumes,1.0
Changing Restrictions,1.0
Letter Delivery,1.0
recently telephone,1.0
cream skimmers,1.0
financial impact,1.0
legal monopolies,1.0
local delivery,1.0
city delivery cost,1.5
rural delivery,1.0
delivery point,1.0
delivery,3.0
city delivery,1.0
business routes,1.0
rural delivery,1.0
cross subsidy,1.0
city delivery,1.0
universal service,1.0
delivery routes,1.0
successful cream,1.0
rural delivery cost,1.5
detailed data,1.0
cream skimmers,1.0
mail box law,1.5
Rural Delivery,1.0
revenue monopoly,1.0
industrial nations,1.0
universal service,1.0
Quantitative Investigation,1.0
1989 city delivery cost,2.0
proper postage,1.0
physical object,1.0
residential service,1.0
cream skimming,1.0
grocery store advertisement,1.5
brief description,1.0
current competition,1.0
potential cream skimmers,1.5
cream skimming,1.0
particularly difficult,1.0
urgent mail exception,1.5
private mail box,1.5
First-Class postage,1.0
twice normal,1.0
alternative delivery,1.0
prestigious sponsorship,1.0
ceased operations,1.0
small share,1.0
alternative delivery,1.0
newspaper industry,1.0
advertising preprints,1.0
delivery office,1.0
alternative delivery system,1.5
service area,1.0
marginal costs,1.0
newspaper price,1.0
saturation mail,1.0
competing items,1.0
box rule,1.0
product samples,1.0
small quantities,1.0
small parcels,1.0
50 percent coverage,1.5
typical newspaper,1.0
comprehensive discussion,1.0
alternative delivery,1.0
additional disadvantage,1.0
address labels,1.0
advertising mail,1.0
address list,1.0
delivery sequence,1.0
piece walk sequence,1.5
single piece,1.0
small panel,1.0
last set,1.0
sectional data,1.0
subsequent panel,1.0
several individual,1.0
marriage mail,1.0
mail volume,1.0
cross section,1.0
large sample size,1.5
different routes,1.0
possible deliveries,1.0
actual deliveries,1.0
single delivery,1.0
stop type,1.0
residential routes,1.0
associated delivery,1.0
fringe benefits,1.0
mail volume,1.0
panel survey,1.0
stand-alone insert,1.0
thousand city delivery routes,2.0
residential curb,1.0
mixed foot,1.0
mixed park,1.0
tenth stop,1.0
26 pay periods,1.5
city routes,1.0
business routes,1.0
delivery data,1.0
city delivery routes,1.5
residential foot,1.0
Business foot,1.0
missing data,1.0
route type,1.0
residential routes22,1.0
data set,1.0
Total volume,1.0
rural routes,1.0
mixed curb,1.0
pay periods,1.0
Ninety-four percent,1.0
business-and-residential stops,1.0
business stops,1.0
calculating city delivery cost,2.0
hourly rate,1.0
residential delivery route,1.5
stand-alone cost,1.0
city delivery,1.0
delivery cost,1.0
average profit,1.0
city routes,1.0
transportation costs,1.0
incremental cost,1.0
city delivery,1.0
daily profit,1.0
quartile ranges,1.0
Route volume,1.0
across28 quartiles,1.0
route type,1.0
residential routes,1.0
office activity,1.0
volume variable,1.0
route cost,1.0
piece ranges,1.0
route terrain,1.0
delivery day,1.0
residential delivery routes,1.5
daily profit,1.0
close relationship,1.0
mean route statistics,1.5
sequencing mail,1.0
residential routes,1.0
city delivery carrier,1.5
total cost,1.0
systemwide labor,1.0
possible deliveries,1.0
hourly rate,1.0
physical terrain,1.0
physical proximity,1.0
civil service retirement,1.5
unfunded liability,1.0
foot route,1.0
overtime pay,1.0
indirect labor,1.0
carrier supervision,1.0
vehicle costs,1.0
monotonic series,1.0
curb routes,1.0
demographic characteristics,1.0
standard work day,1.5
city carrier,1.0
administrative costs,1.0
stand-alone firm,1.0
delivery points,1.0
previous term,1.0
suburban phenomenon,1.0
Deliverya Stop,1.0
Profit Cost,1.0
Volume Pieces,1.0
several reasons,1.0
great number,1.0
loop routes,1.0
postal service,1.0
curbside mail,1.0
large transaction costs,1.5
national posts,1.0
separate mail,1.0
universal service,1.0
transaction networks,1.0
universal delivery service,1.5
major business asset,1.5
considerable disadvantage,1.0
business reasons,1.0
postal provider,1.0
business incentive,1.0
abandoning delivery,1.0
Delivery firms,1.0
delivery profits,1.0
universal service,1.0
cream skimmer,1.0
competitive environment,1.0
unprofitable routes,1.0
unprofitable mail,1.0
universal service standard,2.1666667
cream skimmers,1.0
universal delivery,1.0
cream skimmers,1.0
delivery profitability,1.0
began delivery,1.0
universal service obligation,1.5
unprofitable routes,1.0
carrier route level,1.5
bulk mailers,1.0
cream skimmers,1.0
carrier route level,1.5
sufficient volume,1.0
postal systems,1.0
bulk mailers,1.0
carrier route discount,1.5
right hand column,1.5
carrier route level,1.5
retail services,1.0
rural communities,1.0
cream skimming,1.0
bulk mailer,1.0
frequent delivery,1.0
bulk mailers,1.0
cream skimmers,1.0
sufficient volumes,1.0
transaction costs,1.0
cream skimmer,1.0
postal system,1.0
bulk mailers,1.0
carrier route,1.0
First-Class carrier route,1.5
billing operations,1.0
local cream skimmers,1.5
route volume,1.0
carrier route advertising mail,2.0
cream skimmers,1.0
cream skimmers,1.0
potentially available,1.0
advertising mail,1.0
cream skimmers,1.0
cream skimmers,1.0
carrier route,1.0
First-Class carrier route mail,2.0
cream skimmers,1.0
carrier route,1.0
carrier route volume,1.5
total volume,1.0
carrier route volume,1.5
daily route statistics,1.5
quartile routes,1.0
carrier route volume,1.5
wide divergence,1.0
carrier route volume,1.5
attractive targets,1.0
cream skimmers,1.0
potential profit,1.0
34 Route profitability,1.5
residential routes,1.0
demographic characteristics,1.0
sizable amount,1.0
route profitability,1.0
rural delivery,1.0
route mail,1.0
business routes,1.0
upper bound,1.0
city delivery,1.0
cream skimmers,1.0
carrier route mail,1.5
monotonic behavior,1.0
rural carriers,1.0
post office boxes,1.5
monotonic behavior,1.0
Profit Cost,1.0
heterogeneous costs,1.0
averaged prices,1.0
carrier route pieces,1.5
Carrier Pieces,1.0
Delivery Cost,1.0
low cost items,1.5
incumbents average price,1.5
carrier route pieces,1.5
important sense,1.0
unrealistic case,1.0
residential routes,1.0
extremely unlikely,1.0
fragmented market,1.0
Delivery cream skimmers,1.5
potential volume,1.0
significant labor cost advantage,2.0
cream skimmer,1.0
labor cost,1.0
advertising mail,1.0
frequent delivery,1.0
letter size mail,1.5
suburban ring,1.0
delivery time,1.0
in-office time,1.0
enough capital,1.0
sequencing automation,1.0
large proportion,1.0
possible case,1.0
cream skimmers,1.0
cream skimmer,1.0
cream skimmer,1.0
carrier route,1.0
technology cream skimmers,1.5
delivery sequence,1.0
available volume,1.0
cream skimmer,1.0
relative efficiency,1.0
carrier route,1.0
expensive quartile,1.0
fixed costs,1.0
available carrier route,1.5
large portion,1.0
costs decrease,1.0
marketing standpoint,1.0
cream skimmers,1.0
significant in-office,1.0
sorting machines,1.0
analytical purposes,1.0
potential competitor,1.0
potential cream,1.0
letter-shaped mail,1.0
relative efficiency,1.0
shaded cell,1.0
top matrix,1.0
cream skimmer,1.0
single efficiency parameter,1.5
variable costs,1.0
unit costs,1.0
advertising mail,1.0
cream skimmer,1.0
barcoded mail,1.0
Delivery point,1.0
city carriers,1.0
significant advantage,1.0
43 percent letter,1.5
cream skimmer unit,1.5
expensive quartile,1.0
route mail,1.0
volume decreases,1.0
fixed costs,1.0
cream skimmer,1.0
variable cost,1.0
possible delivery,1.0
120 percent column displays,2.0
delivery cost,1.0
postal administrations,1.0
cream skimmer,1.0
piece cost,1.0
cream skimmers,1.0
piece cost,1.0
60 percent column,1.5
delivery function,1.0
postal product,1.0
variable cost,1.0
mail processing,1.0
cream skimmers,1.0
advertising carrier,1.0
uniform prices,1.0
incremental cost,1.0
route mail,1.0
volume mailers40,1.0
cream skimmers,1.0
hourly wage,1.0
cream skimmers,1.0
cost advantage,1.0
city carrier cost,1.5
incremental costs,1.0
incremental costs,1.0
cost basis,1.0
alternative delivery,1.0
market penetration,1.0
three-day window,1.0
delivery function,1.0
government agency,1.0
incremental cost,1.0
two-day frequency,1.0
virtual monopoly,1.0
incremental costs,1.0
50 percent variable,1.5
delivery function,1.0
large volume customers,1.5
carrier route mail,1.5
variable cost,1.0
time value publications,1.5
cream skimmer,1.0
parcel delivery,1.0
incremental costs,1.0
advertising carrier route mail,2.0
variable cost,1.0
variable costs,1.0
grant volume,1.0
cream skimmers,1.0
Successful Cream Skimming,1.5
maximum effect,1.0
available market,1.0
two-day frequency,1.0
cream skimmer,1.0
carrier route volume,1.5
carrier route advertising mail,2.0
variable cost,1.0
targeting mail,1.0
cream skimmers,1.0
subclass stop costs,1.5
limited effect,1.0
alternative supplier,1.0
lucrative customers,1.0
large volume carrier route customers,2.5
limited competition,1.0
required increase,1.0
great extent,1.0
First-Class rate,1.0
corresponding increases,1.0
allowing cream skimming,1.5
letter mail monopoly,1.5
cream skimmers,1.0
maximum impact,1.0
service performance,1.0
product innovation,1.0
important impact,1.0
residential routes,1.0
business routes,1.0
unlikely candidates,1.0
mail volume,1.0
carrier route,1.0
delivery point,1.0
business routes,1.0
residential routes,1.0
Several factors,1.0
requiring signatures,1.0
business mail,1.0
several statistics,1.0
business routes,1.0
extra costs,1.0
business routes,1.0
delivery point,1.0
business routes,1.0
office buildings,1.0
residential apartment,1.0
delivery point,1.0
mail boxes,1.0
profit mail,1.0
suburban neighborhoods,1.0
business routes,1.0
in-office time,1.0
congested business areas,1.5
residential routes,1.0
business routes,1.0
Business routes,1.0
skimming delivery networks,1.5
business areas,1.0
geographic cream skimmers,1.5
unlikely candidates,1.0
Efficient classification,1.0
cream skimmers,1.0
rate differentials,1.0
important economies,1.0
delivery function,1.0
piece costs,1.0
varying degrees,1.0
delivery network,1.0
classification structure,1.0
cutting delivery frequency,1.5
cost advantage,1.0
delivery point,1.0
cream skimming,1.0
industrial countries,1.0
classification structures,1.0
postal administration,1.0
monopoly protection,1.0
cream skimmer,1.0
cream skimming,1.0
variable costs,1.0
cost relative,1.0
cream skimming,1.0
delivery costs,1.0
cream skimmer,1.0
capita volume,1.0
efficient classification structure,1.5
central business,1.0
messenger services,1.0
worksharing discounts,1.0
carrier route volume,1.5
rate differentials,1.0
prevailing wage,1.0
cost advantage,1.0
difficult target,1.0
ceteris paribus,1.0
cost savings,1.0
wage premium,1.0
different rate categories,1.5
postal administrations,1.0
postal administrations,1.0
wage premium,1.0
delivery statistics,1.0
residential carrier routes,1.5
residential routes,1.0
demographic data,1.0
Digit ZIP Codes,1.5
Housing data,1.0
different quartiles,1.0
delivery statistics,1.0
demographic data,1.0
separate quartiles,1.0
Digit ZIP Codes,1.5
socio-economic data,1.0
demographic data,1.0
income households,1.0
ZIP Codes,1.0
residential routes,1.0
residential routes,1.0
profitable quartiles,1.0
household income,1.0
education attainment,1.0
residential routes,1.0
education attainment,1.0
carrier route volume,1.5
carrier route volume,1.5
Delivery Cost Heterogeneity,1.5
breakeven post,1.0
industrialized country,1.0
simple example,1.0
average cost,1.0
essential condition,1.0
inefficient entry,1.0
geographic areas,1.0
cost differences,1.0
international comparisons,1.0
postal density,1.0
important insights,1.0
geographic areas,1.0
low cost area,1.5
total resources,1.0
inefficient entry,1.0
Delivery cost,1.0
important source,1.0
delivery function,1.0
comparing delivery costs,1.5
diverse countries,1.0
monopoly products,1.0
uniform price,1.0
efficient entrant,1.0
inefficient entry,1.0
Ceteris paribus,1.0
cost area,2.0
inefficient entry,1.0
geographic areas,1.0
delivery costs,1.0
postal delivery characteristics,1.5
delivery costs,1.0
different delivery practices,1.5
delivery costs,1.0
econometric approaches,1.0
unit delivery costs,1.5
relative roles,1.0
delivery cost drivers,1.5
reasonable ranges,1.0
BASIC COMPARISONS,1.0
square kilometer,1.0
delivery cost drivers,1.5
postal density,1.0
delivery costs,1.0
French population,1.0
