Themes/Phrases,strength
capital planning,1.0
improvement efforts,1.0
independent researchers,1.0
federal agencies,1.0
federal agencies,1.0
leading organizations,1.0
critical provisions,1.0
missionrelated work,1.0
significant technology,1.0
operating performance information,1.5
sound cost,1.0
financial management practices,1.5
management reform,1.0
state organizations,1.0
overall goals,1.0
requiring agencies,1.0
information management technology portfolios,2.0
Leading Organizations,1.0
finance organizations,1.0
success factors,1.0
financial management practices,1.5
program results,1.0
investment decisions,1.0
program missions,1.0
improving accountability,1.0
government operations,1.0
effective implementation,1.0
financial management,1.0
reengineering efforts,1.0
success factors,1.0
case study work,1.5
extensive review,1.0
reducing costs,1.0
key practices,1.0
worldclass finance,1.0
case study work,1.5
major programs,1.0
performance reports,1.0
efficiency criteria,1.0
financial statement,1.0
audit resources,1.0
business segments,1.0
program outcomes,1.0
establishing goals,1.0
Increase accountability,1.0
audit process,1.0
data reliability,1.0
performance planning,1.0
financial reporting,1.0
financerelated efficiency measures,1.5
operational performance data,1.5
Use accounting,1.0
internal controls,1.0
improving agency,1.0
support budget formulation,1.5
strategic planning,1.0
Key characteristics,1.0
key business,1.0
line managers,1.0
management improvement initiatives,1.5
top management,1.0
Top executives,1.0
sustained commitment,1.0
finance organization,1.0
financial management reform,1.5
unqualified opinion,1.0
quarterly progress reports,1.5
finance organization,1.0
top management team,1.5
central figure,1.0
leading organizations,1.0
strategic planning,1.0
attending key,1.0
line managers,1.0
improvement efforts,1.0
line management,1.0
necessary resources,1.0
financerelated improvement initiatives,1.5
federal leaders,1.0
management improvement,1.0
unqualified audit opinion,1.5
financial reporting deficiencies,1.5
initial plan,1.0
governmentwide progress,1.0
agency submissions,1.0
overall business,1.0
finance organization,1.0
primary leadership responsibility,1.5
federal CFOs,1.0
federal agencies,1.0
key nonfinancial,1.0
financial management,1.0
line managers,1.0
visionary leader,1.0
overall business performance,1.5
agency level,1.0
federal programs,1.0
performance improvement goals,1.5
active involvement,1.0
financerelated improvement initiatives,1.5
using key,1.0
improvement initiatives,1.0
committed support,1.0
committed support,1.0
gained momentum,1.0
key leadership role,1.5
financial management improvement efforts,2.0
establishing priorities,1.0
meeting mission objectives,1.5
finance organization,1.0
industry leaders,1.0
total outlays,1.0
unit cost,1.0
accounting transaction,1.0
specific performance goals,1.5
compliance activities,1.0
financial management practices,1.5
mission support,1.0
transaction processing,1.0
benchmarking results,1.0
internal customers,1.0
federal agencies,1.0
Key characteristics,1.0
Inefficient processes,1.0
federal environment,1.0
financial management practices,1.5
specific benchmarks,1.0
routine accounting,1.0
Transaction processing activities,1.5
overall strategy,1.0
routine transaction,1.0
routine processes,1.0
leading organizations,1.0
routine accounting activities,1.5
service centers,1.0
primary objective,1.0
continual improvement,1.0
support business objectives,1.5
leading organizations,1.0
federal agencies,1.0
private sector finance organizations,2.0
processing activities,1.0
contract payments,1.0
travel payments,1.0
asset accounting,1.0
costeffective technology deployment,1.5
enhanced position,1.0
changing processes,1.0
final stage,1.0
changing workflow,1.0
finance function,1.0
primary reason,1.0
following stages,1.0
common technology platform,1.5
continuous improvement,1.0
previous report,1.0
significant aspect,1.0
finance organizations,1.0
evaluating opportunities,1.0
Worldclass Financial,1.0
organizational structure,1.0
gaining control,1.0
electronic commerce,1.0
leveraging technology,1.0
reducing costs,1.0
improving efficiency,1.0
outsourcing vendors,1.0
outsourcing vendors,1.0
leading organizations,1.0
accounting operations,1.0
attractive alternative,1.0
Creating Value,1.0
improvement initiatives,1.0
financial management improvement project,2.0
key program,1.0
business managers,1.0
fundamental goals,1.0
executive management team,1.5
financial improvement initiatives,1.5
key constituents,1.0
agency head,1.0
financial management improvement,1.5
program benefits,1.0
accounting information,1.0
management improvement efforts,1.5
necessary resources,1.0
top management team,1.5
financial management,1.0
strategic planning,1.0
budget formulation,1.0
Key characteristics,1.0
change initiatives,1.0
Congressional support,1.0
financial executives,1.0
program directors,1.0
finance organization,1.0
GPRArelated education events,1.5
Nonfinancial managers,1.0
organizational culture,1.0
financial management,1.0
nonfinancial managers,1.0
business problems,1.0
joint effort,1.0
program managers,1.0
recent survey,1.0
federal CFOs,1.0
strategic plans,1.0
numerous outreach,1.0
financial implications,1.0
organizational culture,1.0
line management,1.0
organizational culture,1.0
financial managers,1.0
federal activities,1.0
program offices,1.0
improvement efforts,1.0
finance offices,1.0
managing change,1.0
Worldclass Financial,1.0
financial implications,1.0
business decisions,1.0
functional barriers,1.0
change initiatives,1.0
negative effects,1.0
Government Accountants,1.0
training programs,1.0
providing line managers,1.5
Creating Value,1.0
Entitywide Priority ♦ Practice,2.0
change initiative,1.0
nonfinancial managers,1.0
Training programs,1.0
nonfinancial managers,1.0
Case Study,1.0
reduced operating costs,1.5
customer support,1.0
Case Study,1.0
shared service centers,1.5
hightech companies,1.0
task force,1.0
comparable companies,1.0
advanced technology,1.0
accounting transaction costs,1.5
company revenues,1.0
finance costs,1.0
cost savings,1.0
finance organization,1.0
task force,1.0
finance organization,1.0
comparable organizations,1.0
shared service center,1.5
business services,1.0
cost savings,1.0
steady introduction,1.0
transaction processing activities,1.5
accounts payable,1.0
accounting transactions,1.0
centralizing activities,1.0
organizational structure,1.0
human resources,1.0
general ledger,1.0
asset accounting,1.0
fourto eightperson teams,1.5
daytoday accounting activities,1.5
electronic data interchange,1.5
customer inquiries,1.0
overall effort,1.0
infrastructure costs,1.0
discretionary budget management,1.5
team concept,1.0
customer problems,1.0
highvolume processes,1.0
common software platforms,1.5
document imaging,1.0
teambased approach,1.0
increased creativity,1.0
shared service center,1.5
Key characteristics,1.0
strategic business unit,1.5
human capital strategies,1.5
organizational structure,1.0
finance organization,1.0
reconciling account balances,1.5
finance office responsibilities,1.5
routine accounting activities,1.5
transaction processing,1.0
shared service center,1.5
consolidating activities,1.0
ensuring compliance,1.0
business objectives,1.0
organizational design,1.0
recent survey,1.0
individual entity needs,1.5
inefficient processes,1.0
streamlining duplicative,1.0
administering policy,1.0
general accounting,1.0
treasury management,1.0
inefficient transaction processing,1.5
routine accounting,1.0
outsourcing transaction processing,1.5
routine accounting,1.0
finance organization,1.0
transaction processing needs,1.5
finance organizations,1.0
similar core functions,1.5
finance organizations,1.0
leading organizations,1.0
financial management activities,1.5
unqualified opinion,1.0
reliable information,1.0
leading finance,1.0
unqualified audit opinion,1.5
accountability goals,1.0
control objectives,1.0
internal controls,1.0
finance organizations,1.0
priority initiatives,1.0
performance information,1.0
Worldclass Financial,1.0
resultsoriented government,1.0
Creating Value,1.0
Entitywide Priority ♦ Practice,2.0
performance measurement,1.0
effective control structure,1.5
effective policy,1.0
Government Accountants,1.0
strategic planning,1.0
unqualified opinion,1.0
program decisions,1.0
Case Studies,1.0
clear goals,1.0
government leaders,1.0
unqualified audit,1.0
state Comptroller,1.0
ensuring accountability,1.0
state agency,1.0
state agencies,1.0
audit opinion,1.0
increased accountability,1.0
accounting systems,1.0
performance data,1.0
unqualified opinion,1.0
performance management system,1.5
remaining agencies,1.0
data accuracy,1.0
fiscal impact,1.0
trend analysis,1.0
longrange plans,1.0
budget decisions,1.0
performance management system,1.5
activitybased accounting,1.0
statewide planning structures,1.5
resultsoriented government,1.0
unqualified opinion,1.0
financial reporting purposes,1.5
internal controls,1.0
timely information,1.0
managing program,1.0
internal service funds,1.5
operating trust,1.0
state agencies,1.0
unqualified opinion,1.0
rigorous discipline,1.0
financial reports,1.0
expenditure data,1.0
control objectives,1.0
management information,1.0
integrated budget,1.0
budgeting process,1.0
performance management,1.0
decisionmaking processes,1.0
unqualified audit opinion,1.5
control objectives,1.0
performance management,1.0
always sufficient,1.0
fairly stated,1.0
perunitcost efficiency measures,1.5
financial reporting,1.0
financial reporting,1.0
performance management,1.0
financial reporting,1.0
control issues,1.0
internal controls,1.0
internal auditors,1.0
strategic support activities,1.5
reallocating finance resources,1.5
leading finance organizations,1.5
business objectives,1.0
flatten hierarchies,1.0
strategic planning,1.0
decisionmaking needs,1.0
moved functions,1.0
human capital policies,1.5
organizational structure,1.0
Government Accountants,1.0
certain transaction processing activities,2.0
human capital,1.0
strategic planning,1.0
Worldclass Financial,1.0
financial analysis,1.0
♦ Redefine,1.0
Creating Value,1.0
♦ Practice,1.0
finance organization,1.0
financial managers,1.0
planning efforts,1.0
headquarters level,1.0
core values,1.0
financial data,1.0
management decisionmaking,1.0
overall mission objectives,1.5
management information systems,1.5
explicit workforce planning strategy,2.0
decisionmaking needs,1.0
federal agencies,1.0
timely cost,1.0
performance information,1.0
measure performance,1.0
program funding,1.0
state organizations,1.0
privatization options,1.0
information requirements,1.0
leading finance,1.0
reengineering processes,1.0
Key characteristics,1.0
general ledger system,1.5
management information,1.0
financial data,1.0
line managers,1.0
financial reporting,1.0
nonfinancial information,1.0
federal agencies,1.0
meaningful information,1.0
developing management,1.0
meaningful information,1.0
business processes,1.0
global competition,1.0
information systems,1.0
enterprisewide system,1.0
executive branch guidance,1.5
management information,1.0
deploying information technology,1.5
relevant information,1.0
adhoc data,1.0
federal agencies,1.0
information technology planning,1.5
financial systems,1.0
ClingerCohen Act,1.0
general ledger systems,1.5
investment decisions,1.0
program missions,1.0
leading finance organizations,1.5
adequate systems,1.0
changing needs,1.0
external reporting requirements,1.5
financial analysts,1.0
business unit managers access,2.0
management systems,1.0
program information,1.0
accessible information,1.0
federal agencies,1.0
providing information,1.0
operating data,1.0
management decisionmaking,1.0
data warehouse,1.0
financial systems requirements,1.5
address system integration,1.5
enterprisewide system,1.0
wellfunctioning legacy systems,1.5
profitability information,1.0
system selection,1.0
financial reports,1.0
financial reporting purposes,1.5
relevant cost information systems,2.0
management systems,1.0
measuring cost,1.0
procurement process,1.0
general ledger system,1.5
strategic performance management systems,2.0
access data,1.0
relevant information,1.0
federal systems,1.0
meaningful information,1.0
financial transaction systems,1.5
relevant operating,1.0
financial systems,1.0
single general ledger,1.5
automated crosswalks,1.0
financial management systems requirements,2.0
federal accounting,1.0
business segments,1.0
interim approach,1.0
general ledger,1.0
customers worldwide,1.0
detailed survey,1.0
guide improvement initiatives,1.5
survey results,1.0
Financial Executives,1.0
Creating Value,1.0
♦ Practice,1.0
strategic business decisions,1.5
finance organizations,1.0
finance organization,1.0
reengineering initiative,1.0
finance organization,1.0
preparing tax returns,1.5
industry leaders,1.0
♦ Redefine,1.0
continuous process,1.0
measuring products,1.0
Case Study,1.0
Worldclass Financial,1.0
finance organization,1.0
support business,1.0
finance organization,1.0
strategic imperatives,1.0
little reason,1.0
benchmarking survey,1.0
added activities,1.0
organizational support,1.0
comprehensive revisions,1.0
worldclass standard,1.0
business objectives,1.0
comprehensive reengineering initiative,1.5
change effort,1.0
redeploy resources,1.0
much data,1.0
enough information,1.0
vital purposeit,1.0
crossfunctional process improvement teams,2.0
tax planning,1.0
finance organization,1.0
necessary resources,1.0
finance organizations,1.0
benchmark average,1.0
finance organization,1.0
offering business solutions,1.5
certain functions,1.0
processing activities,1.0
growth enabler,1.0
financial gains,1.0
current role,1.0
finance organization,1.0
performance analysis,1.0
right business,1.0
senior finance executives,1.5
mission objectives,1.0
agency CFOs,1.0
major functions,1.0
mission support,1.0
meaningful categories,1.0
transaction processing,1.0
basic business competence,1.5
education program,1.0
current capabilities,1.0
specific development,1.0
development plan,1.0
individual decisions,1.0
threestep development planning process,2.0
including selfpaced,1.0
case study,1.0
shareholder expectations,1.0
business decisions,1.0
multiple media,1.0
different learning styles,1.5
cost element information,1.5
product cost,1.0
unit cost principles,1.5
training programs,1.0
different environments,1.0
crucial role,1.0
organizational culture,1.0
improvement efforts,1.0
professional staff,1.0
individual cost elements,1.5
internal audit function,1.5
organizational restructuring,1.0
improvement initiatives,1.0
lead change,1.0
nonfinancial improvement,1.0
cultural barriers,1.0
learning experiences,1.0
project teams,1.0
successful programs,1.0
change process,1.0
following objectives,1.0
change systems,1.0
finance organization,1.0
individual plan,1.0
mobilizing commitment,1.0
stakeholder commitment levels,1.5
financial management,1.0
difficult objectives,1.0
addressing questions,1.0
line management,1.0
management improvement initiatives,1.5
nonfinancial managers,1.0
nonfinancial managers,1.0
Key characteristics,1.0
offtheshelf software packages,1.5
Reengineer Processes,1.0
offtheshelf software,1.0
limited modification,1.0
basic application package,1.5
using COTS,1.0
financial applications,1.0
commercial offtheshelf,1.0
inhouse applications,1.0
software upgrades,1.0
limited modification,1.0
leading finance organizations,1.5
practice processes,1.0
regularly available,1.0
leading finance organizations,1.5
successfully implementing,1.0
efficient processes,1.0
federal organization,1.0
significant technology investments,1.5
significant modification,1.0
agency efforts,1.0
existing business processes,1.5
previous system,1.0
reengineering business processes,1.5
functionalbased organization,1.0
reengineering business processes,1.5
contract award,1.0
entire process,1.0
federal agencies,1.0
information technology approaches,1.5
productivity gains,1.0
financial management system,1.5
procurement process,1.0
Reengineering core business,1.5
functional lines,1.0
major business process,1.5
process improvement teams,1.5
reengineering business processes,1.5
reengineering tools,1.0
process mapping,1.0
process modeling,1.0
financial systems,1.0
financial management,1.0
Corning process improvement,1.5
important aspect,1.0
existing procurement schedules,1.5
various business processes,1.5
logistical costs,1.0
successful COTS implementation,1.5
ineffective business,1.0
business unit executives,1.5
key process,1.0
business processes,1.0
reengineering business processes,1.5
current processes,1.0
Case Study,1.0
reengineering management council,1.5
improvement teams,1.0
improvement teams,1.0
defining user requirements,1.5
customer invoice,1.0
Customer Fulfillment Process,1.5
customer needs,1.0
address problems,1.0
providing users,1.0
Fulfillment Process,1.0
sales staff,1.0
customer inquiries,1.0
standardizing reporting,1.0
efficient processes,1.0
business processes,1.0
user requirements,1.0
process improvement,1.0
operating divisions,1.0
crossfunctional teams,1.0
existing core,1.0
Reevaluate user requirements,1.5
customizing software,1.0
effective configuration management system,2.0
software modifications,1.0
product upgrades,1.0
system life cycle,1.5
quality assurance process,1.5
project activities,1.0
software products,1.0
product changes,1.0
effective risk management strategy,2.0
mitigation strategies,1.0
Key characteristics,1.0
simple format,1.0
suitable amounts,1.0
management reports,1.0
leading finance organizations,1.5
configuration management process,1.5
documenting software products,1.5
project risks,1.0
financial data,1.0
prior month,1.0
management reports,1.0
understandable information,1.0
voluminous paper,1.0
finance organizations,1.0
organizational structures,1.0
management reporting formats,1.5
forwardlooking information,1.0
organizational structures,1.0
suitable amounts,1.0
subsequent lack,1.0
executivelevel reporting,1.0
area network,1.0
executive summary,1.0
organizational structures,1.0
key business drivers,1.5
reporting formats,1.0
selected management reports,1.5
standardized reports,1.0
multiple levels,1.0
financial report,1.0
userfriendly accountability report,1.5
individual departments,1.0
currently underway,1.0
related laws,1.0
key business drivers,1.5
information requirements,1.0
various reporting format,1.5
content options,1.0
management reporting,1.0
top management team,1.5
finance executives,1.0
key policymakers,1.0
business information,1.0
Congressional Committees,1.0
clerical role,1.0
finance function,1.0
key business,1.0
business partner,1.0
right mix,1.0
finance teams,1.0
strategic approach,1.0
human capital practices,1.5
financial management personnel,1.5
CustomerFocused Partner,1.0
SelfAssessment Checklist,1.0
Creating Value,1.0
corresponding shift,1.0
finance organizations,1.0
Private Sector Corporations,1.5
finance organizations,1.0
federal finance organizations,1.5
federal agencies,1.0
executive guide,1.0
financial management personnel,1.5
Financial Personnel,1.0
Financial Management,1.0
changing business needs,1.5
leading organizations,1.0
capital planning,1.0
financial professionals,1.0
human capital selfassessment checklist,2.0
Business Results,1.0
strategic humancapital planning,1.5
overall approach,1.0
humancapital management activities,1.5
right mix,1.0
Key characteristics,1.0
finance team,1.0
career development programs,1.5
rotational assignments,1.0
classroom instruction,1.0
leading finance organizations,1.5
finance team,1.0
competency profile,1.0
competency levels,1.0
human capital strategies,1.5
career development programs,1.5
successionplanning strategies,1.0
leading finance,1.0
right mix,1.0
3year entry,1.0
finance organizations,1.0
level programs,1.0
executivelevel programs,1.0
rotational assignments,1.0
classroom instruction,1.0
leadership skills,1.0
general business skills,1.5
businessspecific environments,1.0
rotational assignments,1.0
leading finance organizations,1.5
developing employees,1.0
whole business,1.0
key positions,1.0
federal finance organizations,1.5
advanced accounting,1.0
course work,1.0
reallife business,1.0
operating divisions,1.0
adequate supply,1.0
financial professionals,1.0
course work,1.0
successful career development,1.5
various positions,1.0
operating divisions,1.0
broad range,1.0
diverse leaders,1.0
1year appointments,1.0
host organizations,1.0
right mix,1.0
capital planning,1.0
future human,1.0
finance organization,1.0
human capital strategies,1.5
capital policies,1.0
capital capabilities,1.0
skill gaps,1.0
strategic approach,1.0
agency missions,1.0
skill gaps,1.0
performance data,1.0
finance organization,1.0
technical competencies,1.0
capital policies,1.0
human capital selfassessment checklist,2.0
career development program,1.5
interagency assignments,1.0
program decisionmaking,1.0
reform legislation,1.0
financial decisions,1.0
program implications,1.0
classroom training,1.0
staff rotations,1.0
finance organization,1.0
financial management competencies,1.5
analytical skills,1.0
agency operations,1.0
overall agency operations,1.5
improving leadership,1.0
professional education requirements,1.5
clear career path opportunities,2.0
financial managers,1.0
staff development programs,1.5
different career opportunities,1.5
Key characteristics,1.0
financial leadership,1.0
Equally important,1.0
key factors,1.0
senior executive leaders,1.5
talent assessment,1.0
human capital needs,1.5
exciting groundbreaking projects,1.5
Competitive compensation,1.0
benefits packages,1.0
sound training,1.0
career development programs,1.5
leading organizations,1.0
finance organization,1.0
top leadership,1.0
retaining talent,1.0
senior executive,1.0
oncampus recruiting,1.0
key factor,1.0
career decision,1.0
career paths,1.0
federal executives,1.0
excellent growth opportunities,1.5
public sectors,1.0
fairly comparable,1.0
development strategies,1.0
finance organization,1.0
compensation survey results,1.5
financial professionals,1.0
talented workforce,1.0
motivated workforce,1.0
meaningful career,1.0
staff development programs,1.5
financial professionals,1.0
career path opportunities,1.5
public service,1.0
middle management positions,1.5
executive compensation,1.0
ideal occasion,1.0
Results Acts,1.0
effect change,1.0
revolutionary changes,1.0
employee compensation surveys,1.5
federal agencies,1.0
financial professionals,1.0
federal accounting,1.0
financial management,1.0
flexible career paths,1.5
federal accounting,1.0
federal career,1.0
finance organization,1.0
agency program,1.0
staff development programs,1.5
planned staff,1.0
financial managers,1.0
career paths,1.0
Research Objectives,1.0
worldclass finance organization,1.5
leading finance organizations,1.5
case study selection,1.5
overall scope,1.0
financial management,1.0
finance organizations,1.0
overall performance,1.0
state governments,1.0
private sector executives,1.5
research findings,1.0
draft report,1.0
Key contacts,1.0
project advisors,1.0
practice databases,1.0
case study organizations,1.5
literature search,1.0
case studies,1.0
research objectives,1.0
advisory group,1.0
job design,1.0
private sector studies,1.5
advisory group,1.0
trade journals,1.0
case studies,1.0
private sector companies,1.5
financial management,1.0
literature search,1.0
advisory group,1.0
numerous documents,1.0
advisory group,1.0
various officials,1.0
including chief,1.0
various company documents,1.5
resource specialists,1.0
case study entities,1.5
internal auditors,1.0
agency administrators,1.0
sector companies,1.0
financial reengineering,1.0
management practices,1.0
state governments,1.0
chief information officers,1.5
business unit executives,1.5
legislative branch officials,1.5
state executive,1.0
including vision statements,1.5
strategic plans,1.0
core competencies,1.0
finance personnel,1.0
development guides,1.0
private sector companies,1.5
asked officials,1.0
case studies,1.0
entire guide,1.0
Key elements,1.0
Supporting actions,1.0
appropriate facts,1.0
company information,1.0
support accomplishment,1.0
reengineering efforts,1.0
finance organization,1.0
key components,1.0
pertinent data,1.0
performance metrics,1.0
respective organizations,1.0
advisory group,1.0
appropriate data,1.0
information systems,1.0
informed •,1.0
company integrity,1.0
Performance Expectation,1.0
business process,1.0
information systems,1.0
business plans,1.0
information resources,1.0
selection criteria,1.0
budgeting process,1.0
total cost,1.0
unit cost practices,1.5
cost elements,1.0
life cycle,1.0
management principles,1.0
variance analysis,1.0
Reallocate resources,1.0
management estimate,1.0
earned value,1.0
� product cost,1.5
cost practices,1.0
specific assignment,1.0
Process Measure Average Worldclass,2.0
Personal Rating,1.0
supporting action,1.0
Creating Value,1.0
Processing locations,1.0
Worldclass Companies,1.0
Payroll Paycheck,1.0
Worldclass Financial,1.0
metric Average,1.0
Creating Value,1.0
expense Expense report,1.5
Worldclass Financial,1.0
annual reports,1.0
Worldclass Financial,1.0
financial reports,1.0
Creating Value,1.0
annual reports,1.0
♦ Comparison,1.0
Worldclass Financial,1.0
Creating Value,1.0
financial reports,1.0
Company Revenues,1.0
Creating Value,1.0
annual reports,1.0
♦ Comparison,1.0
Worldclass Financial,1.0
1999 company proxy statements,2.0
Worldclass Financial,1.0
Creating Value,1.0
professional accountancy,1.0
technical guidance,1.0
online users,1.0
specialized groups,1.0
financial managers,1.0
public accounting firms,1.5
online access,1.0
accounting publications,1.0
academic resources,1.0
financial management,1.0
accountingrelated sites,1.0
educational organization,1.0
management resources,1.0
government resources,1.0
noncommercial web sites,1.5
auditing resources,1.0
electronic information,1.0
financial management resources,1.5
finance offices,1.0
professional standards,1.0
electronic sharing,1.0
governmental accounting,1.0
financial reporting,1.0
financial management,1.0
financial accounting,1.0
useful information,1.0
financial reports,1.0
professional organization,1.0
fulltext articles,1.0
accounting research,1.0
Worldclass Financial,1.0
Management Accountants,1.0
Information Links,1.0
assessment guides,1.0
financial management,1.0
members access,1.0
research databases,1.0
custom bibliographies,1.0
accounting organizations,1.0
Creating Value,1.0
comptrollership function,1.0
information links,1.0
including audit,1.0
audit profession,1.0
executive management,1.0
audit committees,1.0
internal auditing profession,1.5
research services,1.0
internal auditing practitioners,1.5
web clearinghouse,1.0
nonprofit managers,1.0
sharing information,1.0
strategic management systems,1.5
government environments,1.0
measurementbased management,1.0
shared services centers,1.5
contact centers,1.0
performance measurement,1.0
ongoing benchmarks,1.0
human resources,1.0
research institution,1.0
business technologies,1.0
private sectors,1.0
vital link,1.0
offering information,1.0
enterprise governance,1.0
reliable information,1.0
ITrelated risks,1.0
software engineering,1.0
Worldclass Financial,1.0
applied technology,1.0
practice guidance,1.0
Information Links,1.0
Creating Value,1.0
Financial Executives,1.0
Financial Executives,1.0
Worldclass Financial,1.0
government executives,1.0
Global Role,1.0
Financial Executives,1.0
Creating Value,1.0
Worldclass Financial,1.0
Creating Value,1.0
Key contacts,1.0
leading organizations,1.0
Worldclass Financial,1.0
Creating Value,1.0
money order,1.0
available reports,1.0
touchtone phone,1.0
recorded menu,1.0
key contributions,1.0
Additional copies,1.0
single address,1.0
facsimile copies,1.0
daily list,1.0
e-mail message,1.0
home page,1.0
answering system,1.0
Payment Process,1.0
payment processing area,1.5
management systems,1.0
internal control standards,1.5
effective control,1.0
reducing costs,1.0
internal control,1.0
payment systems,1.0
saving millions,1.0
streamlining payment systems,1.5
individual letters,1.0
existing systems,1.0
financial management,1.0
systems designs,1.0
systems modifications,1.0
internal control,1.0
internal control,1.0
assist agencies,1.0
internal control,1.0
traditional payment,1.0
background information,1.0
major sections,1.0
third section deals,1.5
streamlining efforts,1.0
streamlining efforts,1.0
section deals,1.0
employee travel,1.0
Additional copies,1.0
advancing technology,1.0
payment systems,1.0
payment systems,1.0
traditional payment systems,1.5
major processing components,1.5
government travel,1.0
traditional systems,1.0
internal control,1.0
payment system,1.0
control objectives,1.0
advancing technology,1.0
effective payment systems,1.5
payment systems,1.0
internal control,1.0
fourth sections,1.0
systems designs,1.0
third section,1.0
payment systems,1.0
government travel,1.0
relevant issues,1.0
relevant systems standards,1.5
brief discussion,1.0
last page,1.0
payment systems change,1.5
traditional payment systems,1.5
key ingredient,1.0
major changes,1.0
foreseeable future,1.0
spread application,1.0
internal control,1.0
internal control,1.0
fourth section,1.0
agency requests,1.0
major parts,1.0
basic concepts,1.0
several areas,1.0
including areas,1.0
PolicyandProceduresManual forGuidanceofFederalAgencies,1.0
payment process,1.0
internal control standards,1.5
assisting agencies,1.0
traditional payment process,1.5
traditional payment process,1.5
internal control,1.0
payment process,1.0
