
 Bigram NP 
investment 2
survey 2
flexibility 2
today 2
tax 2
site 2
f 2
law 2
response 2
f-22 2
feedback 2
policy 2
framework 2
network 2
research 2
health 2
american 2
quality 2
gao's 2
target 2
acquisition 2
hcfa 2
effectiveness 2
achievement 2
kosovo 2
implementation 2
report 2
resource 2
concern 2
approach 2
omb 2
importance 2
attention 2
efficiency 2
aircraft 2
reductions-in-force 2
solvency 2
maintenance 2
administration 2
complex 2
http 2
audit 2
variety 2
client 2
organization 2
prevention 2
executive 2
desktop 2
test 2
senate 2
authority 2
home 2
core 2
wildfire 2
area 2
fiscal 2
october 2
m 2
diverse 2
field 2
matrix 2
time 2
dollar 1
oct. 1
integrity 1
responsiveness 1
show 1
environment 1
maryland 1
//www.gao.gov 1
succession 1
self-assessment 1
www.gao.gov 1
cost 1
index 1
section 1
access 1
capital 1
public 1
body 1
completion 1
transportation 1
protection 1
china 1
path 1
november 1
change 1
experience 1
headline 1
suggestion 1
action 1
transit 1
lodging 1
visit 1
assessment 1
disruption 1
train 1
effort 1
customer 1
challenge 1
accomplishment 1
printing 1
meet 1
control 1
challenging 1
share 1
sense 1
end 1
delay 1
pleasure 1
notebook 1
waste 1
representation 1
restriction 1
office 1
september 1
stability 1
hiring 1
facility 1
return 1
half 1
bosnia 1
financial 1
billion 1
series 1
energy 1
contracting 1
operation 1
event 1
hill 1
eagle 1
california 1
advance 1
recom 1
place 1
south 1
revenue 1
hearing 1
engagement 1
priority 1
tool 1
july 1
b 1
recruit 1
russia 1
strengthen 1
p.l 1
veteran 1
mid 1
mechanism 1
emphasis 1
potential 1
objective 1
position 1
salary 1
average 1
cover 1
consumer 1
assistance 1
impact 1
indicator 1
guidance 1
treasury 1
asbestos 1
fraud 1
architecture 1
release 1
michigan-improved 1
requirement 1
set 1
mandatory 1
college 1
enhanced 1
closer 1
capacity 1
review 1
r 1
august 1
authorizing 1
extent 1
news 1
postage 1
defense 1
budgeting 1
job 1
enabling 1
april 1
s 1
a.m. 1
allowance 1
key 1
miscommunication 1
loan 1
article 1
respect 1
improvement 1
strategy 1
subsidy 1
prototype 1
aviation 1
pilot 1
gao.gov 1
value 1
reliability 1
guide 1
layer 1
hardware 1
pay 1
member 1
document 1
conflict 1
workforce 1
hand 1
analysis 1
consistency 1
model 1
rest 1
human 1
web 1
input 1
period 1
buy-out 1
preference 1
burden 1
deployment 1
press 1
submission 1
benefit 1
mid-1990s 1
page 1
backlog 1
spring 1
growth 1
recommendation 1
power 1
panel 1
y2k 1
violence 1
o 1
range 1
testimony 1
outset 1
presence 1
communication 1
spending 1
compliant 1
interest 1
offer 1
cabinet 1
delivery 1
competition 1
automated 1
reorganization 1
info 1
fraudnet 1
marketplace 1
locality 1
peace 1
cleanup 1
irs' 1
structure 1
building 1
land 1
e 1
age 1
mass 1

 Arbitary length NP 
our approved staffing level 2
budget request u.s. generalaccounting office statement 1
federal employee retirement system 1
n concluding remark fiscal 1
david m. walker comptroller general 1
general accounting office testimony gao 1
health care financing administration 1
budget request critical to sustaining existing level of service to the congress 1
our first strategic plan 1
north atlantic treaty organization 1
