
 Bigram NP 
today's business environment 1
it increased workload 1
their existing authority 1
u.s. corporate governance 1
exchange commission president 1
presorted standard postage 1
it external auditor 1
viable interstate commerce 1
fraudulent financial reporting 1
asset-public trust-in order 1
interrelated areas-corporate governance 1
such blind adherence 1
their personal reputation 1
accountability forum specifically 1
comptroller general aof 1
periodic forensic audit 1
it strategic planning 1
blue ribbon committee 1
current regulatory structure 1
certain financial-related information 1
certified public accountant 1
reporting little ha 1
comprehensive financial reporting 1
mandatory internal control 1
room lm washington 1
registered public accounting 1
accountability forum discussion 1
single individual functioning 1
same conceptual framework 1
internal control-integrated framework 1
accountability forum regulation 1
audit effectiveness recommendation 1
good solid audit 1
enhanced financial reporting 1
u.s. generalaccounting office 1
workload creates challenge 1
assess institutional value 1
federal program automated 1
investor confidence participant 1
entire corporate governance 1
audit effectiveness report 1
jeffrey c. steinhoff 1
corporate audit committee 1
accountability forum participant 1
financial reporting issue 1
new internal control 1
generally accepted auditing 1
it usual pool 1
new comprehensive reporting 1
official business penalty 1
original financial statement 1
it important function 1

 Unigram NP 
board 54
sec 45
audit 44
management 42
accounting 39
model 34
profession 32
reporting 27
company 24
information 21
pcaob 19
example 18
confidence 18
gao 17
auditor 16
process 14
investor 14
need 14
accountability 14
time 14
respect 13
addition 13
quality 12
value 12
ceo 10
risk 9
auditing 9
governance 9
committee 9
performance 9
effectiveness 9
report 9
d.c. 9
business 9
public 8
side 8
chairman 8
fraud 8
responsibility 8
demand 8
today 7
united 7
stock 7
order 7
compensation 7
gap 7
role 7
congress 7
list 6
forum 6
washington 6
system 6
enforcement 6
expectation 6
concern 6
form 6
reliability 6
lack 5
environment 5
fact 5
u.s. 5
place 5
state 5
approach 5
importance 5
aicpa 5
participant 5
integrity 4
oversight 4
independence 4
change 4
opinion 4
group 4
purpose 4
• 4
regulation 4
lot 4
shareholder 4
progress 4
ability 4
supply 4
interest 4
site 4
web 4
security 4
panel 4
appropriate 4
way 4
structure 4
worldcom 3
liability 3
level 3
inspection 3
capital 3
enron 3
substance 3
experience 3
amount 3
control 3
discussion 3
testimony 3
entity 3
versus 3
idea 3
appropriateness 3
number 3
company's 3
industry 3
attention 3
job 3
precision 3
status 3
director 3
point 3
loss 3
certainty 3
act 3
bankruptcy 3
question 3
fasb 3
accountancy 3
regard 3
expertise 3
focus 2
misunderstanding 2
cost 2
investment 2
understanding 2
separation 2
licensing 2
market 2
use 2
fee 2
panacea 2
scope 2
type 2
phone 2
appendix 2
room 2
challenge 2
work 2
transparency 2
share 2
sense 2
agenda 2
policy 2
practice 2
nation 2
half 2
rotation 2
shortage 2
funding 2
content 2
issue 2
assurance 2
ass 2
legislation 2
response 2
traction 2
nominating 2
emphasis 2
operate 2
principle 2
probe 2
litigation 2
justice 2
guidance 2
mixture 2
banking 2
view 2
culture 2
result 2
tone 2
targeting 2
strategy 2
gao.gov 2
budget 2
technology 2
member 2
position 2
accurate 2
impetus 2
relevance 2
input 2
consensus 2
terminology 2
right 2
senate 2
authority 2
recommendation 2
e-mail 2
innovation 2
leadership 2
range 2
disclosure 2
communication 2
commitment 2
function 2
evidence 2
deterrent 2
check 2
department 2
represent 1
concept 1
fasb's 1
integration 1
@ 1
street 1
advantage 1
qwest 1
profession.11 1
heading 1
coso 1
consistent 1
disconnect 1
past 1
www.gao.gov 1
design 1
functioning 1
tiered 1
assistance 1
overload 1
movement 1
exchange 1
protection 1
operating 1
others 1
path 1
box 1
search 1
talent 1
shift 1
study 1
implementation 1
action 1
skepticism 1
apr 1
manage 1
resigns 1
gao-02-411 1
sharing 1
blocking 1
root 1
december 1
company/industry 1
minimum 1
caution 1
monitoring 1
confidential 1
significance 1
answer 1
profile 1
mar 1
minority 1
may 1
advice 1
membership 1
date 1
receptivity 1
data 1
grow 1
a 1
adelphia 1
complexity 1
jail 1
first 1
help 1
office 1
essence 1
mission 1
hiring 1
monitor 1
listing 1
mail 1
combination 1
day 1
february 1
january 1
mastercard 1
8-k,9 1
mean 1
financial 1
operation 1
registrant 1
realtime 1
investigation 1
internet 1
deloitte 1
objectivity 1
erisa 1
sept. 1
belief 1
possibility 1
difficulty 1
likelihood 1
attest/assurance 1
transition 1
sarbanes-oxley 1
one 1
array 1
little 1
opportunity 1
top 1
recruiting 1
draft 1
million.10 1
relationship 1
gao/aimd-96-98 1
checklist 1
mentality 1
differentiate 1
conscientiousness 1
gao-02-601t 1
regulator 1
future 1
auditor's 1
usefulness 1
addressing 1
aug. 1
mind 1
manner 1
option 1
majority 1
reelection 1
react 1
visa 1
harmonization 1
flow 1
reputation 1
touche 1
blend 1
urgency 1
selection 1
merit 1
fear 1
staff 1
knowledge 1
awareness 1
continuity 1
publicity 1
companies2 1
resource 1
gao-02-494sp 1
collusion 1
fair 1
frame 1
detection 1
seal 1
reform 1
cooperation 1
nature 1
extent 1
approval 1
audit6 1
expense 1
comment 1
relevant 1
loan 1
motivation 1
community 1
subscribe 1
trust 1
stamp 1
commission 1
meeting 1
treatment 1
engine 1
dialogue 1
sufficient 1
comptroller 1
spirit 1
case 1
wrongdoing 1
appearance 1
situation 1
voice 1
auditing.1 1
correspondence 1
layer 1
anymore 1
archive 1
document 1
conflict 1
effect 1
alert 1
user 1
judgment 1
transaction 1
falsification 1
analysis 1
client 1
regulating 1
consistency 1
landmark 1
corporate 1
money 1
tyco 1
dishonesty 1
coordination 1
retirement 1
source 1
march 1
burden 1
signal 1
comparability 1
collect 1
officer 1
superintendent 1
understood 1
sight 1
accounting/auditing 1
and/or 1
gao-02-302 1
sec-staffing 1
leader 1
participation 1
agreement 1
tdd 1
faith 1
afternoon 1
outlook 1
involvement 1
determine 1
area 1
xerox 1
fragmentation 1
october 1
fraudnet 1
record 1
verification 1
highlight 1
board's 1
committees.7 1
education 1
variety 1
percent 1
detail 1
rubber 1
setting 1
meaning 1
building 1
deterrence 1
cpa 1
rule 1
pension 1

 Arbitary length NP 
public company accounting oversight board 3
general accounting office washington 2
financial reporting model participant 2
financial accounting standard board 2
u.s. general accounting office 2
government accounting standard board president 1
tiaa-cref senior vice president 1
conference board senior vice president 1
david m. walker comptroller general 1
public accountancy senior vice president listing qualification 1
accountability forum tom l. allen participant lawrence f. alwin raymond l. bromark roel c. campos richard e. cavanagh peter clapman james l. cochrane j. michael cook jackson day daniel dustin michael emen william ezzell stephen r. ferrara chairman 1
employee retirement income security act 1
new york state board 1
superior federal saving bank 1
financial reporting model ha 1
recent major financial reporting 1
exchange commission executive secretary 1
addressing selected regulatory oversight 1
corporate governance process participant 1
llp acting chief accountant 1
it own annual budget 1
general accounting office gao january 1
planning new york stock exchange retired chairman 1
see u.s. general accounting office 1
gao forum on governance and accountability challenge 1
aicpa's improving business reporting-a customer focus 1
certified public accountant assurance practice leader 1
fee paid gao permit no 1
chief counsel corporate governance 1
